# Time          5.0000E+02
# Units: Log10 mol/kgw
    Distance      pH               H+               CO2(aq)          H2S(aq)          SO4--            S34O4--          SO184--          SO164--          Methane(aq)      Formaldehyde     H2O16            H2O18            OH-          
    2.0000000E-03    1.0116503E+01   -1.0054907E+01   -2.3114716E+00   -4.4840612E+00   -2.0197628E+00   -3.3652499E+00   -4.6954938E+00   -2.0014589E+00   -7.9999999E+00    7.9133752E-02    1.1681095E-09   -2.6888551E+00   -4.1783678E+00
    6.0000000E-03    1.0589902E+01   -1.0528324E+01   -2.2887778E+00   -4.0075931E+00   -2.0209446E+00   -3.3663874E+00   -4.6965486E+00   -2.0026210E+00   -7.9999999E+00    7.9038966E-02    3.4506137E-09   -2.6888562E+00   -3.7050009E+00
    1.0000000E-02    1.0810638E+01   -1.0749078E+01   -2.2672585E+00   -3.7862667E+00   -2.0221265E+00   -3.3675248E+00   -4.6976053E+00   -2.0037830E+00   -7.9999999E+00    7.8944372E-02    5.6805268E-09   -2.6888573E+00   -3.4842975E+00
    1.4000000E-02    1.0956027E+01   -1.0894486E+01   -2.2468006E+00   -3.6406420E+00   -2.0233082E+00   -3.3686621E+00   -4.6986641E+00   -2.0049449E+00   -7.9999999E+00    7.8849971E-02    7.8589505E-09   -2.6888584E+00   -3.3389401E+00
    1.8000000E-02    1.1064557E+01   -1.1003035E+01   -2.2273061E+00   -3.5319944E+00   -2.0244900E+00   -3.3697993E+00   -4.6997248E+00   -2.0061067E+00   -7.9999999E+00    7.8755763E-02    9.9869649E-09   -2.6888594E+00   -3.2304411E+00
    2.2000000E-02    1.1151151E+01   -1.1089646E+01   -2.2086904E+00   -3.4453379E+00   -2.0256716E+00   -3.3709365E+00   -4.7007874E+00   -2.0072685E+00   -7.9999999E+00    7.8661746E-02    1.2065629E-08   -2.6888604E+00   -3.1438793E+00
    2.6000000E-02    1.1223175E+01   -1.1161689E+01   -2.1908793E+00   -3.3732792E+00   -2.0268532E+00   -3.3720736E+00   -4.7018520E+00   -2.0084303E+00   -7.9999999E+00    7.8567920E-02    1.4095980E-08   -2.6888614E+00   -3.0718861E+00
    3.0000000E-02    1.1284816E+01   -1.1223348E+01   -2.1738078E+00   -3.3116221E+00   -2.0280348E+00   -3.3732107E+00   -4.7029183E+00   -2.0095919E+00   -7.9999999E+00    7.8474286E-02    1.6079037E-08   -2.6888624E+00   -3.0102770E+00
    3.4000000E-02    1.1338678E+01   -1.1277228E+01   -2.1574183E+00   -3.2577544E+00   -2.0292163E+00   -3.3743477E+00   -4.7039865E+00   -2.0107535E+00   -7.9999999E+00    7.8380842E-02    1.8015797E-08   -2.6888633E+00   -2.9564461E+00
    3.8000000E-02    1.1386496E+01   -1.1325064E+01   -2.1416597E+00   -3.2099390E+00   -2.0303977E+00   -3.3754846E+00   -4.7050564E+00   -2.0119150E+00   -7.9999999E+00    7.8287588E-02    1.9907239E-08   -2.6888643E+00   -2.9086597E+00
    4.2000000E-02    1.1429480E+01   -1.1368067E+01   -2.1264867E+00   -3.1669621E+00   -2.0315791E+00   -3.3766214E+00   -4.7061281E+00   -2.0130765E+00   -7.9999999E+00    7.8194524E-02    2.1754320E-08   -2.6888652E+00   -2.8657062E+00
    4.6000000E-02    1.1468512E+01   -1.1407117E+01   -2.1118583E+00   -3.1279418E+00   -2.0327604E+00   -3.3777582E+00   -4.7072015E+00   -2.0142379E+00   -7.9999999E+00    7.8101650E-02    2.3557981E-08   -2.6888660E+00   -2.8267053E+00
    5.0000000E-02    1.1504251E+01   -1.1442874E+01   -2.0977379E+00   -3.0922174E+00   -2.0339416E+00   -3.3788949E+00   -4.7082766E+00   -2.0153992E+00   -7.9999999E+00    7.8008964E-02    2.5319143E-08   -2.6888669E+00   -2.7909972E+00
    5.4000000E-02    1.1537205E+01   -1.1475845E+01   -2.0840925E+00   -3.0592811E+00   -2.0351228E+00   -3.3800316E+00   -4.7093533E+00   -2.0165605E+00   -7.9999999E+00    7.7916467E-02    2.7038709E-08   -2.6888677E+00   -2.7580748E+00
    5.8000000E-02    1.1567771E+01   -1.1506428E+01   -2.0708921E+00   -3.0287340E+00   -2.0363039E+00   -3.3811681E+00   -4.7104316E+00   -2.0177217E+00   -7.9999999E+00    7.7824159E-02    2.8717565E-08   -2.6888686E+00   -2.7275396E+00
    6.2000000E-02    1.1596268E+01   -1.1534943E+01   -2.0581094E+00   -3.0002570E+00   -2.0374850E+00   -3.3823046E+00   -4.7115115E+00   -2.0188828E+00   -7.9999999E+00    7.7732038E-02    3.0356577E-08   -2.6888694E+00   -2.6990731E+00
    6.6000000E-02    1.1622955E+01   -1.1561648E+01   -2.0457197E+00   -2.9735912E+00   -2.0386660E+00   -3.3834411E+00   -4.7125929E+00   -2.0200439E+00   -7.9999999E+00    7.7640105E-02    3.1956596E-08   -2.6888702E+00   -2.6724164E+00
    7.0000000E-02    1.1648045E+01   -1.1586756E+01   -2.0337004E+00   -2.9485232E+00   -2.0398469E+00   -3.3845774E+00   -4.7136759E+00   -2.0212048E+00   -7.9999999E+00    7.7548358E-02    3.3518456E-08   -2.6888709E+00   -2.6473565E+00
    7.4000000E-02    1.1671716E+01   -1.1610445E+01   -2.0220308E+00   -2.9248753E+00   -2.0410278E+00   -3.3857137E+00   -4.7147603E+00   -2.0223658E+00   -7.9999999E+00    7.7456799E-02    3.5042973E-08   -2.6888717E+00   -2.6237159E+00
    7.8000000E-02    1.1694118E+01   -1.1632864E+01   -2.0106916E+00   -2.9024979E+00   -2.0422086E+00   -3.3868500E+00   -4.7158462E+00   -2.0235266E+00   -7.9999999E+00    7.7365425E-02    3.6530948E-08   -2.6888724E+00   -2.6013450E+00
    8.2000000E-02    1.1715376E+01   -1.1654140E+01   -1.9996655E+00   -2.8812638E+00   -2.0433894E+00   -3.3879861E+00   -4.7169336E+00   -2.0246874E+00   -7.9999999E+00    7.7274238E-02    3.7983165E-08   -2.6888731E+00   -2.5801168E+00
    8.6000000E-02    1.1735600E+01   -1.1674382E+01   -1.9889363E+00   -2.8610641E+00   -2.0445701E+00   -3.3891222E+00   -4.7180223E+00   -2.0258481E+00   -7.9999999E+00    7.7183236E-02    3.9400393E-08   -2.6888738E+00   -2.5599224E+00
    9.0000000E-02    1.1754885E+01   -1.1693684E+01   -1.9784889E+00   -2.8418047E+00   -2.0457507E+00   -3.3902582E+00   -4.7191124E+00   -2.0270087E+00   -7.9999999E+00    7.7092419E-02    4.0783386E-08   -2.6888745E+00   -2.5406678E+00
    9.4000000E-02    1.1773312E+01   -1.1712128E+01   -1.9683096E+00   -2.8234037E+00   -2.0469313E+00   -3.3913941E+00   -4.7202039E+00   -2.0281693E+00   -7.9999999E+00    7.7001787E-02    4.2132881E-08   -2.6888751E+00   -2.5222713E+00
    9.8000000E-02    1.1790951E+01   -1.1729785E+01   -1.9583854E+00   -2.8057896E+00   -2.0481118E+00   -3.3925300E+00   -4.7212966E+00   -2.0293298E+00   -7.9999999E+00    7.6911339E-02    4.3449603E-08   -2.6888758E+00   -2.5046612E+00
    1.0200000E-01    1.1807868E+01   -1.1746719E+01   -1.9487045E+00   -2.7888993E+00   -2.0492922E+00   -3.3936658E+00   -4.7223907E+00   -2.0304903E+00   -7.9999999E+00    7.6821075E-02    4.4734259E-08   -2.6888764E+00   -2.4877746E+00
    1.0600000E-01    1.1824116E+01   -1.1762984E+01   -1.9392557E+00   -2.7726771E+00   -2.0504726E+00   -3.3948015E+00   -4.7234860E+00   -2.0316506E+00   -7.9999999E+00    7.6730995E-02    4.5987545E-08   -2.6888770E+00   -2.4715559E+00
    1.1000000E-01    1.1839746E+01   -1.1778631E+01   -1.9300286E+00   -2.7570735E+00   -2.0516529E+00   -3.3959371E+00   -4.7245826E+00   -2.0328109E+00   -7.9999999E+00    7.6641097E-02    4.7210142E-08   -2.6888776E+00   -2.4559556E+00
