# Time          1.0000E+00
# Units: Log10 mol/kgw
    Distance      pH               H+               CO2(aq)          H2S(aq)          SO4--            S34O4--          SO184--          SO164--          Methane(aq)      Formaldehyde     H2O16            H2O18            OH-          
    2.0000000E-03    1.0451519E+01   -1.0389659E+01   -2.2979358E+00   -4.1460742E+00   -2.0146282E+00   -3.3600883E+00   -4.6906051E+00   -1.9965948E+00   -7.9999999E+00    7.9077816E-02    1.7402166E-09   -2.6888554E+00   -3.8428953E+00
    6.0000000E-03    1.0926036E+01   -1.0863676E+01   -2.2512968E+00   -3.6692583E+00   -2.0056816E+00   -3.3510461E+00   -4.6820122E+00   -1.9881535E+00   -7.9999999E+00    7.8871104E-02    5.1671314E-09   -2.6888571E+00   -3.3675094E+00
    1.0000000E-02    1.1146496E+01   -1.1083650E+01   -2.2092280E+00   -3.4476602E+00   -1.9969204E+00   -3.3421935E+00   -4.6735930E+00   -1.9798777E+00   -7.9999999E+00    7.8664518E-02    8.5419922E-09   -2.6888587E+00   -3.1461978E+00
    1.4000000E-02    1.1291420E+01   -1.1228101E+01   -2.1709181E+00   -3.3017794E+00   -1.9883425E+00   -3.3335280E+00   -4.6653457E+00   -1.9717661E+00   -7.9999999E+00    7.8458067E-02    1.1866178E-08   -2.6888603E+00   -3.0004399E+00
    1.8000000E-02    1.1399429E+01   -1.1335649E+01   -2.1357548E+00   -3.1928846E+00   -1.9799456E+00   -3.3250470E+00   -4.6572684E+00   -1.9638172E+00   -7.9999999E+00    7.8251758E-02    1.5140988E-08   -2.6888619E+00   -2.8916134E+00
    2.2000000E-02    1.1485483E+01   -1.1421254E+01   -2.1032641E+00   -3.1059880E+00   -1.9717275E+00   -3.3167481E+00   -4.6493592E+00   -1.9560297E+00   -7.9999999E+00    7.8045600E-02    1.8367645E-08   -2.6888635E+00   -2.8047603E+00
    2.6000000E-02    1.1556963E+01   -1.1492298E+01   -2.0730720E+00   -3.0336955E+00   -1.9636860E+00   -3.3086291E+00   -4.6416163E+00   -1.9484022E+00   -7.9999999E+00    7.7839598E-02    2.1547304E-08   -2.6888651E+00   -2.7324979E+00
    3.0000000E-02    1.1618060E+01   -1.1552970E+01   -2.0448780E+00   -2.9718106E+00   -1.9558190E+00   -3.3006875E+00   -4.6340378E+00   -1.9409332E+00   -7.9999999E+00    7.7633762E-02    2.4681053E-08   -2.6888666E+00   -2.6706351E+00
    3.4000000E-02    1.1671383E+01   -1.1605881E+01   -2.0184368E+00   -2.9177209E+00   -1.9481242E+00   -3.2929209E+00   -4.6266218E+00   -1.9336211E+00   -7.9999999E+00    7.7428098E-02    2.7769920E-08   -2.6888681E+00   -2.6165622E+00
    3.8000000E-02    1.1718669E+01   -1.1652764E+01   -1.9935462E+00   -2.8696893E+00   -1.9405996E+00   -3.2853271E+00   -4.6193665E+00   -1.9264646E+00   -7.9999999E+00    7.7222614E-02    3.0814875E-08   -2.6888696E+00   -2.5685439E+00
    4.2000000E-02    1.1761130E+01   -1.1694834E+01   -1.9700368E+00   -2.8265017E+00   -1.9332430E+00   -3.2779037E+00   -4.6122701E+00   -1.9194621E+00   -7.9999999E+00    7.7017317E-02    3.3816834E-08   -2.6888711E+00   -2.5253671E+00
    4.6000000E-02    1.1799646E+01   -1.1732971E+01   -1.9477658E+00   -2.7872763E+00   -1.9260523E+00   -3.2706485E+00   -4.6053307E+00   -1.9126119E+00   -7.9999999E+00    7.6812214E-02    3.6776666E-08   -2.6888725E+00   -2.4861506E+00
    5.0000000E-02    1.1834878E+01   -1.1767834E+01   -1.9266115E+00   -2.7513524E+00   -1.9190252E+00   -3.2635591E+00   -4.5985463E+00   -1.9059127E+00   -7.9999999E+00    7.6607314E-02    3.9695190E-08   -2.6888739E+00   -2.4502342E+00
    5.4000000E-02    1.1867334E+01   -1.1799931E+01   -1.9064694E+00   -2.7182220E+00   -1.9121597E+00   -3.2566334E+00   -4.5919153E+00   -1.8993627E+00   -7.9999999E+00    7.6402622E-02    4.2573184E-08   -2.6888753E+00   -2.4171102E+00
    5.8000000E-02    1.1897412E+01   -1.1829661E+01   -1.8872489E+00   -2.6874862E+00   -1.9054537E+00   -3.2498690E+00   -4.5854357E+00   -1.8929603E+00   -7.9999999E+00    7.6198147E-02    4.5411385E-08   -2.6888767E+00   -2.3863799E+00
    6.2000000E-02    1.1925431E+01   -1.1857341E+01   -1.8688713E+00   -2.6588260E+00   -1.8989051E+00   -3.2432637E+00   -4.5791056E+00   -1.8867039E+00   -7.9999999E+00    7.5993895E-02    4.8210492E-08   -2.6888781E+00   -2.3577245E+00
    6.6000000E-02    1.1951649E+01   -1.1883230E+01   -1.8512674E+00   -2.6319823E+00   -1.8925117E+00   -3.2368154E+00   -4.5729231E+00   -1.8805920E+00   -7.9999999E+00    7.5789874E-02    5.0971169E-08   -2.6888794E+00   -2.3308850E+00
    7.0000000E-02    1.1976280E+01   -1.1907541E+01   -1.8343766E+00   -2.6067418E+00   -1.8862714E+00   -3.2305218E+00   -4.5668865E+00   -1.8746226E+00   -7.9999999E+00    7.5586090E-02    5.3694047E-08   -2.6888808E+00   -2.3056482E+00
    7.4000000E-02    1.1999500E+01   -1.1930452E+01   -1.8181447E+00   -2.5829267E+00   -1.8801821E+00   -3.2243807E+00   -4.5609938E+00   -1.8687943E+00   -7.9999999E+00    7.5382551E-02    5.6379725E-08   -2.6888821E+00   -2.2818363E+00
    7.8000000E-02    1.2021460E+01   -1.1952111E+01   -1.8025238E+00   -2.5603873E+00   -1.8742418E+00   -3.2183899E+00   -4.5552432E+00   -1.8631053E+00   -7.9999999E+00    7.5179262E-02    5.9028777E-08   -2.6888834E+00   -2.2592999E+00
    8.2000000E-02    1.2042287E+01   -1.1972645E+01   -1.7874711E+00   -2.5389964E+00   -1.8684483E+00   -3.2125472E+00   -4.5496327E+00   -1.8575539E+00   -7.9999999E+00    7.4976231E-02    6.1641747E-08   -2.6888847E+00   -2.2379118E+00
    8.6000000E-02    1.2062088E+01   -1.1992164E+01   -1.7729480E+00   -2.5186451E+00   -1.8627996E+00   -3.2068506E+00   -4.5441606E+00   -1.8521384E+00   -7.9999999E+00    7.4773465E-02    6.4219157E-08   -2.6888859E+00   -2.2175629E+00
    9.0000000E-02    1.2080959E+01   -1.2010760E+01   -1.7589197E+00   -2.4992392E+00   -1.8572935E+00   -3.2012977E+00   -4.5388248E+00   -1.8468570E+00   -7.9999999E+00    7.4570969E-02    6.6761503E-08   -2.6888872E+00   -2.1981592E+00
    9.4000000E-02    1.2098981E+01   -1.2028515E+01   -1.7453550E+00   -2.4806968E+00   -1.8519281E+00   -3.1958865E+00   -4.5336236E+00   -1.8417079E+00   -7.9999999E+00    7.4368750E-02    6.9269262E-08   -2.6888884E+00   -2.1796188E+00
    9.8000000E-02    1.2116224E+01   -1.2045500E+01   -1.7322253E+00   -2.4629463E+00   -1.8467011E+00   -3.1906148E+00   -4.5285551E+00   -1.8366895E+00   -7.9999999E+00    7.4166815E-02    7.1742891E-08   -2.6888896E+00   -2.1618702E+00
    1.0200000E-01    1.2132753E+01   -1.2061778E+01   -1.7195048E+00   -2.4459246E+00   -1.8416107E+00   -3.1854804E+00   -4.5236173E+00   -1.8318000E+00   -7.9999999E+00    7.3965169E-02    7.4182829E-08   -2.6888908E+00   -2.1448502E+00
    1.0600000E-01    1.2148622E+01   -1.2077405E+01   -1.7071698E+00   -2.4295759E+00   -1.8366546E+00   -3.1804814E+00   -4.5188083E+00   -1.8270375E+00   -7.9999999E+00    7.3763819E-02    7.6589496E-08   -2.6888920E+00   -2.1285031E+00
    1.1000000E-01    1.2163880E+01   -1.2092428E+01   -1.6951986E+00   -2.4138508E+00   -1.8318308E+00   -3.1756155E+00   -4.5141264E+00   -1.8224003E+00   -7.9999999E+00    7.3562770E-02    7.8963299E-08   -2.6888931E+00   -2.1127795E+00
    1.1400000E-01    1.2178573E+01   -1.2106893E+01   -1.6835715E+00   -2.3987048E+00   -1.8271374E+00   -3.1708806E+00   -4.5095696E+00   -1.8178867E+00   -7.9999999E+00    7.3362028E-02    8.1304627E-08   -2.6888943E+00   -2.0976349E+00
    1.1800000E-01    1.2192739E+01   -1.2120839E+01   -1.6722701E+00   -2.3840984E+00   -1.8225722E+00   -3.1662747E+00   -4.5051360E+00   -1.8134948E+00   -7.9999999E+00    7.3161599E-02    8.3613859E-08   -2.6888954E+00   -2.0830298E+00
    1.2200000E-01    1.2206414E+01   -1.2134301E+01   -1.6612777E+00   -2.3699958E+00   -1.8181332E+00   -3.1617957E+00   -4.5008238E+00   -1.8092228E+00   -7.9999999E+00    7.2961488E-02    8.5891358E-08   -2.6888965E+00   -2.0689283E+00
    1.2600000E-01    1.2219630E+01   -1.2147310E+01   -1.6505786E+00   -2.3563646E+00   -1.8138185E+00   -3.1574416E+00   -4.4966310E+00   -1.8050690E+00   -7.9999999E+00    7.2761701E-02    8.8137479E-08   -2.6888976E+00   -2.0552983E+00
    1.3000000E-01    1.2232415E+01   -1.2159896E+01   -1.6401585E+00   -2.3431758E+00   -1.8096259E+00   -3.1532101E+00   -4.4925559E+00   -1.8010316E+00   -7.9999999E+00    7.2562242E-02    9.0352564E-08   -2.6888987E+00   -2.0421105E+00
    1.3400000E-01    1.2244797E+01   -1.2172085E+01   -1.6300040E+00   -2.3304025E+00   -1.8055536E+00   -3.1490994E+00   -4.4885966E+00   -1.7971087E+00   -7.9999999E+00    7.2363118E-02    9.2536945E-08   -2.6888997E+00   -2.0293382E+00
    1.3800000E-01    1.2256799E+01   -1.2183900E+01   -1.6201027E+00   -2.3180207E+00   -1.8015994E+00   -3.1451074E+00   -4.4847511E+00   -1.7932986E+00   -7.9999999E+00    7.2164333E-02    9.4690946E-08   -2.6889008E+00   -2.0169573E+00
    1.4200000E-01    1.2268444E+01   -1.2195364E+01   -1.6104430E+00   -2.3060081E+00   -1.7977615E+00   -3.1412321E+00   -4.4810177E+00   -1.7895995E+00   -7.9999999E+00    7.1965891E-02    9.6814883E-08   -2.6889018E+00   -2.0049456E+00
    1.4600000E-01    1.2279751E+01   -1.2206497E+01   -1.6010142E+00   -2.2943443E+00   -1.7940378E+00   -3.1374714E+00   -4.4773944E+00   -1.7860096E+00   -7.9999999E+00    7.1767798E-02    9.8909063E-08   -2.6889029E+00   -1.9932826E+00
