# Time          5.0000E+01
# Units: Permil
    Distance        SO4--            SO164--         
    2.0000000E-03    2.2047401E+01    8.8087838E+00
    6.0000000E-03    2.2212653E+01    9.0647992E+00
    1.0000000E-02    2.2377989E+01    9.3156393E+00
    1.4000000E-02    2.2543409E+01    9.5614024E+00
    1.8000000E-02    2.2708909E+01    9.8021854E+00
    2.2000000E-02    2.2874488E+01    1.0038083E+01
    2.6000000E-02    2.3040145E+01    1.0269189E+01
    3.0000000E-02    2.3205877E+01    1.0495595E+01
    3.4000000E-02    2.3371685E+01    1.0717391E+01
    3.8000000E-02    2.3537564E+01    1.0934665E+01
    4.2000000E-02    2.3703515E+01    1.1147505E+01
    4.6000000E-02    2.3869535E+01    1.1355995E+01
    5.0000000E-02    2.4035622E+01    1.1560219E+01
    5.4000000E-02    2.4201775E+01    1.1760260E+01
    5.8000000E-02    2.4367993E+01    1.1956198E+01
    6.2000000E-02    2.4534273E+01    1.2148113E+01
    6.6000000E-02    2.4700614E+01    1.2336082E+01
    7.0000000E-02    2.4867014E+01    1.2520183E+01
    7.4000000E-02    2.5033471E+01    1.2700490E+01
    7.8000000E-02    2.5199984E+01    1.2877076E+01
    8.2000000E-02    2.5366552E+01    1.3050015E+01
    8.6000000E-02    2.5533171E+01    1.3219378E+01
    9.0000000E-02    2.5699842E+01    1.3385234E+01
    9.4000000E-02    2.5866561E+01    1.3547651E+01
    9.8000000E-02    2.6033328E+01    1.3706698E+01
    1.0200000E-01    2.6200140E+01    1.3862439E+01
    1.0600000E-01    2.6366997E+01    1.4014941E+01
    1.1000000E-01    2.6533896E+01    1.4164267E+01
    1.1400000E-01    2.6700835E+01    1.4310478E+01
    1.1800000E-01    2.6867813E+01    1.4453637E+01
    1.2200000E-01    2.7034828E+01    1.4593804E+01
    1.2600000E-01    2.7201879E+01    1.4731038E+01
    1.3000000E-01    2.7368964E+01    1.4865396E+01
    1.3400000E-01    2.7536081E+01    1.4996936E+01
    1.3800000E-01    2.7703229E+01    1.5125714E+01
    1.4200000E-01    2.7870405E+01    1.5251785E+01
    1.4600000E-01    2.8037608E+01    1.5375201E+01
    1.5000000E-01    2.8204837E+01    1.5496017E+01
    1.5400000E-01    2.8372090E+01    1.5614284E+01
    1.5800000E-01    2.8539364E+01    1.5730053E+01
    1.6200000E-01    2.8706659E+01    1.5843373E+01
    1.6600000E-01    2.8873973E+01    1.5954294E+01
    1.7000000E-01    2.9041304E+01    1.6062864E+01
    1.7400000E-01    2.9208651E+01    1.6169131E+01
    1.7800000E-01    2.9376011E+01    1.6273139E+01
    1.8200000E-01    2.9543383E+01    1.6374935E+01
    1.8600000E-01    2.9710765E+01    1.6474564E+01
    1.9000000E-01    2.9878157E+01    1.6572069E+01
    1.9400000E-01    3.0045555E+01    1.6667492E+01
    1.9800000E-01    3.0212959E+01    1.6760876E+01
    2.0200000E-01    3.0380367E+01    1.6852263E+01
    2.0600000E-01    3.0547777E+01    1.6941693E+01
    2.1000000E-01    3.0715187E+01    1.7029205E+01
    2.1400000E-01    3.0882597E+01    1.7114838E+01
    2.1800000E-01    3.1050003E+01    1.7198631E+01
    2.2200000E-01    3.1217405E+01    1.7280621E+01
    2.2600000E-01    3.1384801E+01    1.7360846E+01
    2.3000000E-01    3.1552190E+01    1.7439340E+01
    2.3400000E-01    3.1719569E+01    1.7516140E+01
    2.3800000E-01    3.1886938E+01    1.7591279E+01
    2.4200000E-01    3.2054294E+01    1.7664793E+01
    2.4600000E-01    3.2221635E+01    1.7736715E+01
    2.5000000E-01    3.2388961E+01    1.7807076E+01
    2.5400000E-01    3.2556270E+01    1.7875910E+01
    2.5800000E-01    3.2723560E+01    1.7943248E+01
    2.6200000E-01    3.2890830E+01    1.8009121E+01
    2.6600000E-01    3.3058077E+01    1.8073558E+01
    2.7000000E-01    3.3225301E+01    1.8136590E+01
    2.7400000E-01    3.3392499E+01    1.8198246E+01
    2.7800000E-01    3.3559671E+01    1.8258554E+01
    2.8200000E-01    3.3726814E+01    1.8317543E+01
    2.8600000E-01    3.3893927E+01    1.8375239E+01
    2.9000000E-01    3.4061009E+01    1.8431669E+01
    2.9400000E-01    3.4228058E+01    1.8486861E+01
    2.9800000E-01    3.4395072E+01    1.8540839E+01
    3.0200000E-01    3.4562050E+01    1.8593630E+01
    3.0600000E-01    3.4728991E+01    1.8645257E+01
    3.1000000E-01    3.4895892E+01    1.8695746E+01
    3.1400000E-01    3.5062753E+01    1.8745120E+01
    3.1800000E-01    3.5229571E+01    1.8793403E+01
    3.2200000E-01    3.5396346E+01    1.8840617E+01
    3.2600000E-01    3.5563075E+01    1.8886785E+01
    3.3000000E-01    3.5729757E+01    1.8931929E+01
    3.3400000E-01    3.5896392E+01    1.8976071E+01
    3.3800000E-01    3.6062977E+01    1.9019232E+01
    3.4200000E-01    3.6229510E+01    1.9061432E+01
    3.4600000E-01    3.6395991E+01    1.9102692E+01
    3.5000000E-01    3.6562417E+01    1.9143032E+01
    3.5400000E-01    3.6728789E+01    1.9182471E+01
    3.5800000E-01    3.6895103E+01    1.9221028E+01
    3.6200000E-01    3.7061358E+01    1.9258723E+01
    3.6600000E-01    3.7227554E+01    1.9295573E+01
    3.7000000E-01    3.7393688E+01    1.9331597E+01
    3.7400000E-01    3.7559759E+01    1.9366811E+01
    3.7800000E-01    3.7725767E+01    1.9401235E+01
    3.8200000E-01    3.7891708E+01    1.9434884E+01
    3.8600000E-01    3.8057583E+01    1.9467774E+01
    3.9000000E-01    3.8223389E+01    1.9499923E+01
    3.9400000E-01    3.8389126E+01    1.9531346E+01
    3.9800000E-01    3.8554791E+01    1.9562059E+01
    4.0200000E-01    3.8720384E+01    1.9592077E+01
    4.0600000E-01    3.8885903E+01    1.9621415E+01
    4.1000000E-01    3.9051346E+01    1.9650087E+01
    4.1400000E-01    3.9216713E+01    1.9678109E+01
    4.1800000E-01    3.9382002E+01    1.9705493E+01
    4.2200000E-01    3.9547212E+01    1.9732255E+01
    4.2600000E-01    3.9712341E+01    1.9758406E+01
    4.3000000E-01    3.9877388E+01    1.9783962E+01
    4.3400000E-01    4.0042352E+01    1.9808933E+01
    4.3800000E-01    4.0207231E+01    1.9833334E+01
    4.4200000E-01    4.0372025E+01    1.9857177E+01
    4.4600000E-01    4.0536731E+01    1.9880473E+01
    4.5000000E-01    4.0701350E+01    1.9903235E+01
    4.5400000E-01    4.0865878E+01    1.9925475E+01
    4.5800000E-01    4.1030315E+01    1.9947203E+01
    4.6200000E-01    4.1194661E+01    1.9968431E+01
    4.6600000E-01    4.1358913E+01    1.9989170E+01
    4.7000000E-01    4.1523070E+01    2.0009431E+01
    4.7400000E-01    4.1687131E+01    2.0029224E+01
    4.7800000E-01    4.1851096E+01    2.0048559E+01
    4.8200000E-01    4.2014962E+01    2.0067447E+01
    4.8600000E-01    4.2178729E+01    2.0085897E+01
    4.9000000E-01    4.2342394E+01    2.0103919E+01
    4.9400000E-01    4.2505959E+01    2.0121522E+01
    4.9800000E-01    4.2669420E+01    2.0138716E+01
    5.0200000E-01    4.2832777E+01    2.0155510E+01
    5.0600000E-01    4.2996028E+01    2.0171913E+01
    5.1000000E-01    4.3159173E+01    2.0187932E+01
    5.1400000E-01    4.3322211E+01    2.0203578E+01
    5.1800000E-01    4.3485140E+01    2.0218857E+01
    5.2200000E-01    4.3647959E+01    2.0233779E+01
    5.2600000E-01    4.3810667E+01    2.0248351E+01
    5.3000000E-01    4.3973263E+01    2.0262580E+01
    5.3400000E-01    4.4135746E+01    2.0276476E+01
    5.3800000E-01    4.4298114E+01    2.0290044E+01
    5.4200000E-01    4.4460368E+01    2.0303293E+01
    5.4600000E-01    4.4622505E+01    2.0316229E+01
    5.5000000E-01    4.4784524E+01    2.0328860E+01
    5.5400000E-01    4.4946425E+01    2.0341193E+01
    5.5800000E-01    4.5108207E+01    2.0353233E+01
    5.6200000E-01    4.5269869E+01    2.0364988E+01
    5.6600000E-01    4.5431408E+01    2.0376464E+01
    5.7000000E-01    4.5592826E+01    2.0387667E+01
    5.7400000E-01    4.5754120E+01    2.0398604E+01
    5.7800000E-01    4.5915289E+01    2.0409280E+01
    5.8200000E-01    4.6076333E+01    2.0419702E+01
    5.8600000E-01    4.6237251E+01    2.0429874E+01
    5.9000000E-01    4.6398041E+01    2.0439804E+01
    5.9400000E-01    4.6558703E+01    2.0449496E+01
    5.9800000E-01    4.6719236E+01    2.0458955E+01
    6.0200000E-01    4.6879638E+01    2.0468187E+01
    6.0600000E-01    4.7039910E+01    2.0477198E+01
    6.1000000E-01    4.7200050E+01    2.0485991E+01
    6.1400000E-01    4.7360056E+01    2.0494573E+01
    6.1800000E-01    4.7519929E+01    2.0502948E+01
    6.2200000E-01    4.7679668E+01    2.0511120E+01
    6.2600000E-01    4.7839271E+01    2.0519094E+01
    6.3000000E-01    4.7998738E+01    2.0526876E+01
    6.3400000E-01    4.8158067E+01    2.0534468E+01
    6.3800000E-01    4.8317258E+01    2.0541876E+01
    6.4200000E-01    4.8476311E+01    2.0549104E+01
    6.4600000E-01    4.8635224E+01    2.0556156E+01
    6.5000000E-01    4.8793997E+01    2.0563035E+01
    6.5400000E-01    4.8952628E+01    2.0569747E+01
    6.5800000E-01    4.9111117E+01    2.0576294E+01
    6.6200000E-01    4.9269464E+01    2.0582681E+01
    6.6600000E-01    4.9427667E+01    2.0588911E+01
    6.7000000E-01    4.9585725E+01    2.0594987E+01
    6.7400000E-01    4.9743639E+01    2.0600915E+01
    6.7800000E-01    4.9901407E+01    2.0606696E+01
    6.8200000E-01    5.0059028E+01    2.0612334E+01
    6.8600000E-01    5.0216502E+01    2.0617833E+01
    6.9000000E-01    5.0373828E+01    2.0623196E+01
    6.9400000E-01    5.0531005E+01    2.0628426E+01
    6.9800000E-01    5.0688034E+01    2.0633526E+01
    7.0200000E-01    5.0844912E+01    2.0638498E+01
    7.0600000E-01    5.1001639E+01    2.0643347E+01
    7.1000000E-01    5.1158215E+01    2.0648075E+01
    7.1400000E-01    5.1314639E+01    2.0652685E+01
    7.1800000E-01    5.1470911E+01    2.0657179E+01
    7.2200000E-01    5.1627029E+01    2.0661560E+01
    7.2600000E-01    5.1782994E+01    2.0665831E+01
    7.3000000E-01    5.1938804E+01    2.0669995E+01
    7.3400000E-01    5.2094459E+01    2.0674053E+01
    7.3800000E-01    5.2249958E+01    2.0678009E+01
    7.4200000E-01    5.2405301E+01    2.0681865E+01
    7.4600000E-01    5.2560488E+01    2.0685623E+01
    7.5000000E-01    5.2715517E+01    2.0689285E+01
    7.5400000E-01    5.2870388E+01    2.0692854E+01
    7.5800000E-01    5.3025101E+01    2.0696333E+01
    7.6200000E-01    5.3179655E+01    2.0699722E+01
    7.6600000E-01    5.3334049E+01    2.0703024E+01
    7.7000000E-01    5.3488283E+01    2.0706242E+01
    7.7400000E-01    5.3642357E+01    2.0709377E+01
    7.7800000E-01    5.3796270E+01    2.0712431E+01
    7.8200000E-01    5.3950022E+01    2.0715406E+01
    7.8600000E-01    5.4103611E+01    2.0718304E+01
    7.9000000E-01    5.4257039E+01    2.0721127E+01
    7.9400000E-01    5.4410303E+01    2.0723877E+01
    7.9800000E-01    5.4563404E+01    2.0726555E+01
    8.0200000E-01    5.4716342E+01    2.0729163E+01
    8.0600000E-01    5.4869115E+01    2.0731703E+01
    8.1000000E-01    5.5021724E+01    2.0734176E+01
    8.1400000E-01    5.5174167E+01    2.0736584E+01
    8.1800000E-01    5.5326446E+01    2.0738929E+01
    8.2200000E-01    5.5478559E+01    2.0741212E+01
    8.2600000E-01    5.5630506E+01    2.0743434E+01
    8.3000000E-01    5.5782286E+01    2.0745597E+01
    8.3400000E-01    5.5933899E+01    2.0747703E+01
    8.3800000E-01    5.6085345E+01    2.0749752E+01
    8.4200000E-01    5.6236624E+01    2.0751747E+01
    8.4600000E-01    5.6387735E+01    2.0753688E+01
    8.5000000E-01    5.6538678E+01    2.0755576E+01
    8.5400000E-01    5.6689452E+01    2.0757414E+01
    8.5800000E-01    5.6840057E+01    2.0759202E+01
    8.6200000E-01    5.6990494E+01    2.0760942E+01
    8.6600000E-01    5.7140761E+01    2.0762634E+01
    8.7000000E-01    5.7290858E+01    2.0764279E+01
    8.7400000E-01    5.7440786E+01    2.0765880E+01
    8.7800000E-01    5.7590543E+01    2.0767437E+01
    8.8200000E-01    5.7740130E+01    2.0768950E+01
    8.8600000E-01    5.7889546E+01    2.0770422E+01
    8.9000000E-01    5.8038792E+01    2.0771853E+01
    8.9400000E-01    5.8187866E+01    2.0773244E+01
    8.9800000E-01    5.8336769E+01    2.0774596E+01
    9.0200000E-01    5.8485500E+01    2.0775910E+01
    9.0600000E-01    5.8634060E+01    2.0777188E+01
    9.1000000E-01    5.8782448E+01    2.0778429E+01
    9.1400000E-01    5.8930664E+01    2.0779634E+01
    9.1800000E-01    5.9078707E+01    2.0780806E+01
    9.2200000E-01    5.9226578E+01    2.0781944E+01
    9.2600000E-01    5.9374276E+01    2.0783049E+01
    9.3000000E-01    5.9521802E+01    2.0784122E+01
    9.3400000E-01    5.9669154E+01    2.0785164E+01
    9.3800000E-01    5.9816334E+01    2.0786176E+01
    9.4200000E-01    5.9963341E+01    2.0787158E+01
    9.4600000E-01    6.0110174E+01    2.0788111E+01
    9.5000000E-01    6.0256834E+01    2.0789036E+01
    9.5400000E-01    6.0403320E+01    2.0789934E+01
    9.5800000E-01    6.0549633E+01    2.0790805E+01
    9.6200000E-01    6.0695772E+01    2.0791649E+01
    9.6600000E-01    6.0841738E+01    2.0792469E+01
    9.7000000E-01    6.0987530E+01    2.0793263E+01
    9.7400000E-01    6.1133147E+01    2.0794033E+01
    9.7800000E-01    6.1278591E+01    2.0794780E+01
    9.8200000E-01    6.1423861E+01    2.0795503E+01
    9.8600000E-01    6.1568958E+01    2.0796204E+01
    9.9000000E-01    6.1713880E+01    2.0796884E+01
    9.9400000E-01    6.1858627E+01    2.0797541E+01
    9.9800000E-01    6.2003201E+01    2.0798178E+01
    1.0020000E+00    6.2147601E+01    2.0798795E+01
    1.0060000E+00    6.2291827E+01    2.0799392E+01
    1.0100000E+00    6.2435879E+01    2.0799970E+01
    1.0140000E+00    6.2579756E+01    2.0800529E+01
    1.0180000E+00    6.2723460E+01    2.0801069E+01
    1.0220000E+00    6.2866990E+01    2.0801592E+01
    1.0260000E+00    6.3010346E+01    2.0802097E+01
    1.0300000E+00    6.3153527E+01    2.0802586E+01
    1.0340000E+00    6.3296535E+01    2.0803058E+01
    1.0380000E+00    6.3439369E+01    2.0803513E+01
    1.0420000E+00    6.3582030E+01    2.0803953E+01
    1.0460000E+00    6.3724516E+01    2.0804378E+01
    1.0500000E+00    6.3866829E+01    2.0804788E+01
    1.0540000E+00    6.4008969E+01    2.0805183E+01
    1.0580000E+00    6.4150935E+01    2.0805564E+01
    1.0620000E+00    6.4292728E+01    2.0805931E+01
    1.0660000E+00    6.4434347E+01    2.0806285E+01
    1.0700000E+00    6.4575794E+01    2.0806626E+01
    1.0740000E+00    6.4717067E+01    2.0806953E+01
    1.0780000E+00    6.4858168E+01    2.0807269E+01
    1.0820000E+00    6.4999096E+01    2.0807572E+01
    1.0860000E+00    6.5139851E+01    2.0807864E+01
    1.0900000E+00    6.5280433E+01    2.0808144E+01
