# Time          2.5000E+01
# Units: Log10 mol/kgw
    Distance      pH               H+               CO2(aq)          H2S(aq)          SO4--            S34O4--          SO184--          SO164--          Methane(aq)      Formaldehyde     H2O16            H2O18            OH-          
    2.0000000E-03    1.0382466E+01   -1.0320837E+01   -2.3016114E+00   -4.2159002E+00   -2.0193421E+00   -3.3648106E+00   -4.6950850E+00   -2.0010536E+00   -7.9999999E+00    7.9093179E-02    1.2980808E-09   -2.6888552E+00   -3.9123488E+00
    6.0000000E-03    1.0857474E+01   -1.0795798E+01   -2.2612720E+00   -3.7391318E+00   -2.0196804E+00   -3.3650672E+00   -4.6953202E+00   -2.0014028E+00   -7.9999999E+00    7.8917209E-02    3.8405622E-09   -2.6888564E+00   -3.4372589E+00
    1.0000000E-02    1.1078622E+01   -1.1016899E+01   -2.2244063E+00   -3.5175659E+00   -2.0200158E+00   -3.3653211E+00   -4.6955550E+00   -2.0017492E+00   -7.9999999E+00    7.8741382E-02    6.3305526E-09   -2.6888576E+00   -3.2160295E+00
    1.4000000E-02    1.1224251E+01   -1.1162481E+01   -2.1904666E+00   -3.3717110E+00   -2.0203482E+00   -3.3655720E+00   -4.6957893E+00   -2.0020927E+00   -7.9999999E+00    7.8565700E-02    8.7692158E-09   -2.6888588E+00   -3.0703189E+00
    1.8000000E-02    1.1332964E+01   -1.1271147E+01   -2.1590254E+00   -3.2628368E+00   -2.0206777E+00   -3.3658202E+00   -4.6960233E+00   -2.0024335E+00   -7.9999999E+00    7.8390163E-02    1.1157690E-08   -2.6888600E+00   -2.9615249E+00
    2.2000000E-02    1.1419713E+01   -1.1357849E+01   -2.1297425E+00   -3.1759558E+00   -2.0210043E+00   -3.3660656E+00   -4.6962568E+00   -2.0027714E+00   -7.9999999E+00    7.8214771E-02    1.3497088E-08   -2.6888611E+00   -2.8746950E+00
    2.6000000E-02    1.1491878E+01   -1.1429968E+01   -2.1023428E+00   -3.1036740E+00   -2.0213281E+00   -3.3663083E+00   -4.6964898E+00   -2.0031066E+00   -7.9999999E+00    7.8039524E-02    1.5788499E-08   -2.6888623E+00   -2.8024484E+00
    3.0000000E-02    1.1553650E+01   -1.1491693E+01   -2.0766006E+00   -3.0417948E+00   -2.0216490E+00   -3.3665482E+00   -4.6967223E+00   -2.0034391E+00   -7.9999999E+00    7.7864425E-02    1.8032988E-08   -2.6888633E+00   -2.7405952E+00
    3.4000000E-02    1.1607638E+01   -1.1545634E+01   -2.0523286E+00   -2.9877060E+00   -2.0219671E+00   -3.3667855E+00   -4.6969542E+00   -2.0037688E+00   -7.9999999E+00    7.7689472E-02    2.0231599E-08   -2.6888644E+00   -2.6865262E+00
    3.8000000E-02    1.1655577E+01   -1.1593527E+01   -2.0293695E+00   -2.9396704E+00   -2.0222823E+00   -3.3670201E+00   -4.6971856E+00   -2.0040959E+00   -7.9999999E+00    7.7514667E-02    2.2385349E-08   -2.6888655E+00   -2.6385063E+00
