# Time          1.0000E+01
# Units: Log10 mol/kgw
    Distance      pH               H+               CO2(aq)          H2S(aq)          SO4--            S34O4--          SO184--          SO164--          Methane(aq)      Formaldehyde     H2O16            H2O18            OH-          
    2.0000000E-03    9.9989001E+00   -9.9190293E+00   -2.3135042E+00   -4.5669185E+00   -1.5721463E+00   -2.9180511E+00   -4.2637800E+00   -1.5697248E+00   -7.9999999E+00    7.9142002E-02    1.8724126E-09   -2.6888555E+00   -4.2597616E+00
    6.0000000E-03    1.0469802E+01   -1.0389939E+01   -2.2946786E+00   -4.0919712E+00   -1.5725787E+00   -2.9184543E+00   -4.2641311E+00   -1.5701440E+00   -7.9999999E+00    7.9064093E-02    5.5633414E-09   -2.6888573E+00   -3.7888793E+00
    1.0000000E-02    1.0689111E+01   -1.0609257E+01   -2.2767679E+00   -3.8718620E+00   -1.5730084E+00   -2.9188549E+00   -4.2644803E+00   -1.5705605E+00   -7.9999999E+00    7.8986754E-02    9.2011282E-09   -2.6888590E+00   -3.5695887E+00
    1.4000000E-02    1.0833229E+01   -1.0753383E+01   -2.2596936E+00   -3.7274117E+00   -1.5734352E+00   -2.9192528E+00   -4.2648277E+00   -1.5709743E+00   -7.9999999E+00    7.8909984E-02    1.2786498E-08   -2.6888608E+00   -3.4254899E+00
    1.8000000E-02    1.0940539E+01   -1.0860701E+01   -2.2433867E+00   -3.6199248E+00   -1.5738593E+00   -2.9196481E+00   -4.2651732E+00   -1.5713853E+00   -7.9999999E+00    7.8833779E-02    1.6320168E-08   -2.6888625E+00   -3.3181983E+00
    2.2000000E-02    1.1025935E+01   -1.0946105E+01   -2.2277867E+00   -3.5344232E+00   -1.5742805E+00   -2.9200407E+00   -4.2655169E+00   -1.5717936E+00   -7.9999999E+00    7.8758137E-02    1.9802844E-08   -2.6888642E+00   -3.2328211E+00
    2.6000000E-02    1.1096774E+01   -1.1016952E+01   -2.2128398E+00   -3.4635166E+00   -1.5746990E+00   -2.9204308E+00   -4.2658587E+00   -1.5721992E+00   -7.9999999E+00    7.8683054E-02    2.3235226E-08   -2.6888659E+00   -3.1620006E+00
    3.0000000E-02    1.1157236E+01   -1.1077422E+01   -2.1984982E+00   -3.4030101E+00   -1.5751146E+00   -2.9208182E+00   -4.2661985E+00   -1.5726021E+00   -7.9999999E+00    7.8608529E-02    2.6618001E-08   -2.6888675E+00   -3.1015574E+00
    3.4000000E-02    1.1209923E+01   -1.1130117E+01   -2.1847191E+00   -3.3502924E+00   -1.5755275E+00   -2.9212030E+00   -4.2665366E+00   -1.5730023E+00   -7.9999999E+00    7.8534558E-02    2.9951852E-08   -2.6888692E+00   -3.0488880E+00
    3.8000000E-02    1.1256569E+01   -1.1176771E+01   -2.1714640E+00   -3.3036268E+00   -1.5759377E+00   -2.9215852E+00   -4.2668727E+00   -1.5733998E+00   -7.9999999E+00    7.8461139E-02    3.3237448E-08   -2.6888708E+00   -3.0022605E+00
    4.2000000E-02    1.1298383E+01   -1.1218593E+01   -2.1586985E+00   -3.2617997E+00   -1.5763450E+00   -2.9219649E+00   -4.2672070E+00   -1.5737946E+00   -7.9999999E+00    7.8388270E-02    3.6475454E-08   -2.6888724E+00   -2.9604642E+00
    4.6000000E-02    1.1336246E+01   -1.1256463E+01   -2.1463912E+00   -3.2239294E+00   -1.5767497E+00   -2.9223420E+00   -4.2675393E+00   -1.5741868E+00   -7.9999999E+00    7.8315946E-02    3.9666523E-08   -2.6888739E+00   -2.9226195E+00
    5.0000000E-02    1.1370816E+01   -1.1291041E+01   -2.1345138E+00   -3.1893554E+00   -1.5771516E+00   -2.9227165E+00   -4.2678698E+00   -1.5745763E+00   -7.9999999E+00    7.8244166E-02    4.2811303E-08   -2.6888755E+00   -2.8880669E+00
    5.4000000E-02    1.1402601E+01   -1.1322833E+01   -2.1230405E+00   -3.1575698E+00   -1.5775508E+00   -2.9230884E+00   -4.2681984E+00   -1.5749631E+00   -7.9999999E+00    7.8172928E-02    4.5910430E-08   -2.6888770E+00   -2.8562995E+00
    5.8000000E-02    1.1431999E+01   -1.1352239E+01   -2.1119477E+00   -3.1281738E+00   -1.5779472E+00   -2.9234578E+00   -4.2685252E+00   -1.5753473E+00   -7.9999999E+00    7.8102227E-02    4.8964534E-08   -2.6888785E+00   -2.8269192E+00
    6.2000000E-02    1.1459328E+01   -1.1379575E+01   -2.1012138E+00   -3.1008484E+00   -1.5783409E+00   -2.9238247E+00   -4.2688500E+00   -1.5757289E+00   -7.9999999E+00    7.8032062E-02    5.1974236E-08   -2.6888799E+00   -2.7996075E+00
    6.6000000E-02    1.1484847E+01   -1.1405101E+01   -2.0908191E+00   -3.0753346E+00   -1.5787320E+00   -2.9241890E+00   -4.2691730E+00   -1.5761079E+00   -7.9999999E+00    7.7962430E-02    5.4940150E-08   -2.6888814E+00   -2.7741058E+00
    7.0000000E-02    1.1508769E+01   -1.1429031E+01   -2.0807454E+00   -3.0514192E+00   -1.5791203E+00   -2.9245508E+00   -4.2694941E+00   -1.5764842E+00   -7.9999999E+00    7.7893329E-02    5.7862882E-08   -2.6888828E+00   -2.7502010E+00
    7.4000000E-02    1.1531271E+01   -1.1451540E+01   -2.0709760E+00   -3.0289244E+00   -1.5795060E+00   -2.9249101E+00   -4.2698133E+00   -1.5768579E+00   -7.9999999E+00    7.7824755E-02    6.0743029E-08   -2.6888842E+00   -2.7277157E+00
    7.8000000E-02    1.1552503E+01   -1.1472780E+01   -2.0614953E+00   -3.0077006E+00   -1.5798890E+00   -2.9252668E+00   -4.2701306E+00   -1.5772290E+00   -7.9999999E+00    7.7756705E-02    6.3581181E-08   -2.6888856E+00   -2.7065004E+00
    8.2000000E-02    1.1572592E+01   -1.1492876E+01   -2.0522890E+00   -2.9876206E+00   -1.5802693E+00   -2.9256211E+00   -4.2704460E+00   -1.5775975E+00   -7.9999999E+00    7.7689178E-02    6.6377920E-08   -2.6888870E+00   -2.6864282E+00
    8.6000000E-02    1.1591647E+01   -1.1511938E+01   -2.0433438E+00   -2.9685756E+00   -1.5806470E+00   -2.9259729E+00   -4.2707596E+00   -1.5779635E+00   -7.9999999E+00    7.7622171E-02    6.9133820E-08   -2.6888883E+00   -2.6673900E+00
    9.0000000E-02    1.1609761E+01   -1.1530059E+01   -2.0346474E+00   -2.9504713E+00   -1.5810220E+00   -2.9263222E+00   -4.2710712E+00   -1.5783268E+00   -7.9999999E+00    7.7555680E-02    7.1849450E-08   -2.6888896E+00   -2.6492921E+00
    9.4000000E-02    1.1627017E+01   -1.1547322E+01   -2.0261884E+00   -2.9332259E+00   -1.5813943E+00   -2.9266690E+00   -4.2713810E+00   -1.5786876E+00   -7.9999999E+00    7.7489704E-02    7.4525369E-08   -2.6888909E+00   -2.6320525E+00
    9.8000000E-02    1.1643486E+01   -1.1563798E+01   -2.0179558E+00   -2.9167679E+00   -1.5817641E+00   -2.9270134E+00   -4.2716889E+00   -1.5790459E+00   -7.9999999E+00    7.7424238E-02    7.7162129E-08   -2.6888922E+00   -2.6155998E+00
    1.0200000E-01    1.1659231E+01   -1.1579550E+01   -2.0099399E+00   -2.9010342E+00   -1.5821312E+00   -2.9273553E+00   -4.2719950E+00   -1.5794016E+00   -7.9999999E+00    7.7359282E-02    7.9760275E-08   -2.6888935E+00   -2.5998710E+00
    1.0600000E-01    1.1674307E+01   -1.1594633E+01   -2.0021311E+00   -2.8859691E+00   -1.5824957E+00   -2.9276948E+00   -4.2722991E+00   -1.5797548E+00   -7.9999999E+00    7.7294832E-02    8.2320346E-08   -2.6888948E+00   -2.5848105E+00
    1.1000000E-01    1.1688765E+01   -1.1609098E+01   -1.9945208E+00   -2.8715231E+00   -1.5828577E+00   -2.9280318E+00   -4.2726014E+00   -1.5801054E+00   -7.9999999E+00    7.7230885E-02    8.4842872E-08   -2.6888960E+00   -2.5703687E+00
    1.1400000E-01    1.1702648E+01   -1.1622987E+01   -1.9871008E+00   -2.8576519E+00   -1.5832170E+00   -2.9283664E+00   -4.2729018E+00   -1.5804535E+00   -7.9999999E+00    7.7167439E-02    8.7328378E-08   -2.6888972E+00   -2.5565015E+00
    1.1800000E-01    1.1715996E+01   -1.1636342E+01   -1.9798632E+00   -2.8443160E+00   -1.5835737E+00   -2.9286986E+00   -4.2732004E+00   -1.5807992E+00   -7.9999999E+00    7.7104491E-02    8.9777381E-08   -2.6888984E+00   -2.5431692E+00
    1.2200000E-01    1.1728844E+01   -1.1649197E+01   -1.9728008E+00   -2.8314795E+00   -1.5839279E+00   -2.9290284E+00   -4.2734970E+00   -1.5811423E+00   -7.9999999E+00    7.7042039E-02    9.2190392E-08   -2.6888996E+00   -2.5303361E+00
    1.2600000E-01    1.1741225E+01   -1.1661585E+01   -1.9659068E+00   -2.8191104E+00   -1.5842795E+00   -2.9293558E+00   -4.2737918E+00   -1.5814829E+00   -7.9999999E+00    7.6980079E-02    9.4567914E-08   -2.6889007E+00   -2.5179701E+00
    1.3000000E-01    1.1753169E+01   -1.1673535E+01   -1.9591748E+00   -2.8071793E+00   -1.5846286E+00   -2.9296808E+00   -4.2740848E+00   -1.5818211E+00   -7.9999999E+00    7.6918610E-02    9.6910445E-08   -2.6889019E+00   -2.5060420E+00
    1.3400000E-01    1.1764701E+01   -1.1685073E+01   -1.9525986E+00   -2.7956597E+00   -1.5849751E+00   -2.9300035E+00   -4.2743758E+00   -1.5821568E+00   -7.9999999E+00    7.6857628E-02    9.9218474E-08   -2.6889030E+00   -2.4945252E+00
    1.3800000E-01    1.1775845E+01   -1.1696225E+01   -1.9461726E+00   -2.7845274E+00   -1.5853191E+00   -2.9303237E+00   -4.2746650E+00   -1.5824900E+00   -7.9999999E+00    7.6797130E-02    1.0149249E-07   -2.6889041E+00   -2.4833956E+00
    1.4200000E-01    1.1786625E+01   -1.1707010E+01   -1.9398912E+00   -2.7737603E+00   -1.5856606E+00   -2.9306416E+00   -4.2749524E+00   -1.5828208E+00   -7.9999999E+00    7.6737115E-02    1.0373296E-07   -2.6889052E+00   -2.4726310E+00
    1.4600000E-01    1.1797059E+01   -1.1717452E+01   -1.9337493E+00   -2.7633380E+00   -1.5859996E+00   -2.9309572E+00   -4.2752379E+00   -1.5831491E+00   -7.9999999E+00    7.6677580E-02    1.0594037E-07   -2.6889063E+00   -2.4622110E+00
    1.5000000E-01    1.1807168E+01   -1.1727566E+01   -1.9277421E+00   -2.7532419E+00   -1.5863360E+00   -2.9312704E+00   -4.2755215E+00   -1.5834751E+00   -7.9999999E+00    7.6618521E-02    1.0811517E-07   -2.6889074E+00   -2.4521172E+00
    1.5400000E-01    1.1816967E+01   -1.1737372E+01   -1.9218649E+00   -2.7434549E+00   -1.5866700E+00   -2.9315813E+00   -4.2758033E+00   -1.5837986E+00   -7.9999999E+00    7.6559937E-02    1.1025783E-07   -2.6889084E+00   -2.4423323E+00
    1.5800000E-01    1.1826474E+01   -1.1746884E+01   -1.9161133E+00   -2.7339611E+00   -1.5870015E+00   -2.9318898E+00   -4.2760833E+00   -1.5841196E+00   -7.9999999E+00    7.6501824E-02    1.1236880E-07   -2.6889094E+00   -2.4328405E+00
    1.6200000E-01    1.1835701E+01   -1.1756118E+01   -1.9104832E+00   -2.7247458E+00   -1.5873305E+00   -2.9321961E+00   -4.2763614E+00   -1.5844383E+00   -7.9999999E+00    7.6444180E-02    1.1444853E-07   -2.6889105E+00   -2.4236271E+00
    1.6600000E-01    1.1844664E+01   -1.1765087E+01   -1.9049705E+00   -2.7157954E+00   -1.5876571E+00   -2.9325000E+00   -4.2766376E+00   -1.5847546E+00   -7.9999999E+00    7.6387003E-02    1.1649745E-07   -2.6889115E+00   -2.4146785E+00
    1.7000000E-01    1.1853374E+01   -1.1773804E+01   -1.8995715E+00   -2.7070973E+00   -1.5879812E+00   -2.9328017E+00   -4.2769121E+00   -1.5850686E+00   -7.9999999E+00    7.6330290E-02    1.1851600E-07   -2.6889124E+00   -2.4059821E+00
    1.7400000E-01    1.1861844E+01   -1.1782280E+01   -1.8942825E+00   -2.6986397E+00   -1.5883029E+00   -2.9331011E+00   -4.2771847E+00   -1.5853801E+00   -7.9999999E+00    7.6274037E-02    1.2050462E-07   -2.6889134E+00   -2.3975262E+00
    1.7800000E-01    1.1870085E+01   -1.1790526E+01   -1.8891003E+00   -2.6904117E+00   -1.5886221E+00   -2.9333982E+00   -4.2774554E+00   -1.5856893E+00   -7.9999999E+00    7.6218243E-02    1.2246372E-07   -2.6889144E+00   -2.3892998E+00
    1.8200000E-01    1.1878105E+01   -1.1798553E+01   -1.8840213E+00   -2.6824032E+00   -1.5889389E+00   -2.9336930E+00   -4.2777244E+00   -1.5859962E+00   -7.9999999E+00    7.6162905E-02    1.2439373E-07   -2.6889153E+00   -2.3812927E+00
    1.8600000E-01    1.1885916E+01   -1.1806370E+01   -1.8790426E+00   -2.6746044E+00   -1.5892534E+00   -2.9339856E+00   -4.2779915E+00   -1.5863007E+00   -7.9999999E+00    7.6108020E-02    1.2629505E-07   -2.6889162E+00   -2.3734954E+00
    1.9000000E-01    1.1893526E+01   -1.1813985E+01   -1.8741611E+00   -2.6670066E+00   -1.5895654E+00   -2.9342760E+00   -4.2782568E+00   -1.5866029E+00   -7.9999999E+00    7.6053586E-02    1.2816809E-07   -2.6889172E+00   -2.3658989E+00
    1.9400000E-01    1.1900944E+01   -1.1821409E+01   -1.8693740E+00   -2.6596012E+00   -1.5898750E+00   -2.9345641E+00   -4.2785202E+00   -1.5869027E+00   -7.9999999E+00    7.5999600E-02    1.3001326E-07   -2.6889181E+00   -2.3584948E+00
    1.9800000E-01    1.1908176E+01   -1.1828647E+01   -1.8646786E+00   -2.6523805E+00   -1.5901823E+00   -2.9348500E+00   -4.2787819E+00   -1.5872003E+00   -7.9999999E+00    7.5946060E-02    1.3183094E-07   -2.6889189E+00   -2.3512754E+00
    2.0200000E-01    1.1915232E+01   -1.1835708E+01   -1.8600721E+00   -2.6453370E+00   -1.5904871E+00   -2.9351337E+00   -4.2790418E+00   -1.5874956E+00   -7.9999999E+00    7.5892962E-02    1.3362154E-07   -2.6889198E+00   -2.3442331E+00
