# Time          2.5000E+01
# Units: Mol/kgw
    Distance           H+               CO2(aq)          H2S(aq)          SO4--            S34O4--          SO184--          SO164--          Methane(aq)      Formaldehyde     H2O16            H2O18        
    2.0000000E-03   -4.3388076E-05    4.8283257E-03    2.1309285E-05    2.6746545E-02    1.2060341E-03    5.4403639E-05    2.6896001E-02    9.9855951E-09    1.1999148E+00    1.0000000E+00    2.0471262E-03
    6.0000000E-03   -1.2781121E-04    4.9833516E-03    6.3521473E-05    2.6647657E-02    1.2016385E-03    5.4211188E-05    2.6797198E-02    9.9567854E-09    1.1997459E+00    1.0000000E+00    2.0471189E-03
    1.0000000E-02   -2.1142560E-04    5.1367604E-03    1.0532929E-04    2.6548971E-02    1.1972514E-03    5.4019009E-05    2.6698593E-02    9.9279764E-09    1.1995787E+00    1.0000000E+00    2.0471116E-03
    1.4000000E-02   -2.9423529E-04    5.2885602E-03    1.4673476E-04    2.6450487E-02    1.1928728E-03    5.3827104E-05    2.6600184E-02    9.8991682E-09    1.1994131E+00    1.0000000E+00    2.0471045E-03
    1.8000000E-02   -3.7624428E-04    5.4387592E-03    1.8773987E-04    2.6352205E-02    1.1885026E-03    5.3635476E-05    2.6501973E-02    9.8703615E-09    1.1992490E+00    1.0000000E+00    2.0470974E-03
    2.2000000E-02   -4.5745660E-04    5.5873657E-03    2.2834665E-04    2.6254125E-02    1.1841410E-03    5.3444125E-05    2.6403958E-02    9.8415564E-09    1.1990866E+00    1.0000000E+00    2.0470905E-03
    2.6000000E-02   -5.3787624E-04    5.7343879E-03    2.6855710E-04    2.6156247E-02    1.1797879E-03    5.3253054E-05    2.6306141E-02    9.8127535E-09    1.1989258E+00    1.0000000E+00    2.0470838E-03
    3.0000000E-02   -6.1750721E-04    5.8798339E-03    3.0837320E-04    2.6058572E-02    1.1754432E-03    5.3062263E-05    2.6208521E-02    9.7839531E-09    1.1987665E+00    1.0000001E+00    2.0470771E-03
    3.4000000E-02   -6.9635350E-04    6.0237120E-03    3.4779697E-04    2.5961099E-02    1.1711071E-03    5.2871755E-05    2.6111098E-02    9.7551555E-09    1.1986088E+00    1.0000001E+00    2.0470705E-03
    3.8000000E-02   -7.7441910E-04    6.1660302E-03    3.8683039E-04    2.5863828E-02    1.1667795E-03    5.2681531E-05    2.6013872E-02    9.7263612E-09    1.1984527E+00    1.0000001E+00    2.0470641E-03
    4.2000000E-02   -8.5170800E-04    6.3067968E-03    4.2547546E-04    2.5766759E-02    1.1624604E-03    5.2491592E-05    2.5916844E-02    9.6975705E-09    1.1982981E+00    1.0000001E+00    2.0470578E-03
    4.6000000E-02   -9.2822416E-04    6.4460198E-03    4.6373416E-04    2.5669893E-02    1.1581498E-03    5.2301941E-05    2.5820013E-02    9.6687839E-09    1.1981451E+00    1.0000001E+00    2.0470516E-03
    5.0000000E-02   -1.0039716E-03    6.5837075E-03    5.0160848E-04    2.5573230E-02    1.1538478E-03    5.2112578E-05    2.5723380E-02    9.6400017E-09    1.1979936E+00    1.0000001E+00    2.0470454E-03
    5.4000000E-02   -1.0789541E-03    6.7198678E-03    5.3910040E-04    2.5476768E-02    1.1495543E-03    5.1923506E-05    2.5626945E-02    9.6112243E-09    1.1978436E+00    1.0000001E+00    2.0470394E-03
    5.8000000E-02   -1.1531759E-03    6.8545089E-03    5.7621189E-04    2.5380510E-02    1.1452693E-03    5.1734725E-05    2.5530707E-02    9.5824520E-09    1.1976952E+00    1.0000001E+00    2.0470336E-03
