# Time          2.5000E+02
# Units: Log10 mol/kgw
    Distance      pH               H+               CO2(aq)          H2S(aq)          SO4--            S34O4--          SO184--          SO164--          Methane(aq)      Formaldehyde     H2O16            H2O18            OH-          
    2.0000000E-03    1.0516450E+01   -1.0436992E+01   -2.3046080E+00   -4.2780615E+00   -1.5725229E+00   -2.9184211E+00   -4.2641564E+00   -1.5700984E+00   -8.0001707E+00    7.9104925E-02    1.7937204E-09   -2.6888554E+00   -3.9738712E+00
    6.0000000E-03    1.0990419E+01   -1.0910991E+01   -2.2695972E+00   -3.8020588E+00   -1.5737106E+00   -2.9195661E+00   -4.2652621E+00   -1.5712670E+00   -8.0005124E+00    7.8952833E-02    5.3272115E-09   -2.6888571E+00   -3.4999706E+00
    1.0000000E-02    1.1211020E+01   -1.1131622E+01   -2.2373212E+00   -3.5811049E+00   -1.5748984E+00   -2.9207112E+00   -4.2663686E+00   -1.5724355E+00   -8.0008544E+00    7.8801276E-02    8.8074209E-09   -2.6888588E+00   -3.2794387E+00
    1.4000000E-02    1.1356173E+01   -1.1276804E+01   -2.2073921E+00   -3.4358398E+00   -1.5760861E+00   -2.9218562E+00   -4.2674757E+00   -1.5736040E+00   -8.0011967E+00    7.8650252E-02    1.2235010E-08   -2.6888605E+00   -3.1343546E+00
    1.8000000E-02    1.1464433E+01   -1.1385095E+01   -2.1794991E+00   -3.3275476E+00   -1.5772738E+00   -2.9230012E+00   -4.2685834E+00   -1.5747724E+00   -8.0015392E+00    7.8499760E-02    1.5610633E-08   -2.6888622E+00   -3.0261630E+00
    2.2000000E-02    1.1550741E+01   -1.1471432E+01   -2.1533893E+00   -3.2412448E+00   -1.5784615E+00   -2.9241461E+00   -4.2696917E+00   -1.5759409E+00   -8.0018820E+00    7.8349799E-02    1.8934937E-08   -2.6888638E+00   -2.9399242E+00
    2.6000000E-02    1.1622471E+01   -1.1543192E+01   -2.1288543E+00   -3.1695389E+00   -1.5796492E+00   -2.9252911E+00   -4.2708007E+00   -1.5771093E+00   -8.0022251E+00    7.8200368E-02    2.2208561E-08   -2.6888654E+00   -2.8682626E+00
    3.0000000E-02    1.1683812E+01   -1.1604562E+01   -2.1057201E+00   -3.1082341E+00   -1.5808368E+00   -2.9264360E+00   -4.2719103E+00   -1.5782777E+00   -8.0025684E+00    7.8051465E-02    2.5432139E-08   -2.6888670E+00   -2.8069903E+00
    3.4000000E-02    1.1737371E+01   -1.1658151E+01   -2.0838401E+00   -3.0547185E+00   -1.5820244E+00   -2.9275809E+00   -4.2730205E+00   -1.5794461E+00   -8.0029120E+00    7.7903090E-02    2.8606297E-08   -2.6888685E+00   -2.7534996E+00
    3.8000000E-02    1.1784883E+01   -1.1705693E+01   -2.0630896E+00   -3.0072552E+00   -1.5832120E+00   -2.9287257E+00   -4.2741313E+00   -1.5806144E+00   -8.0032559E+00    7.7755241E-02    3.1731653E-08   -2.6888700E+00   -2.7060559E+00
