# Time          1.0000E+01
# Units: Mol/kgw
    Distance           H+               CO2(aq)          H2S(aq)          SO4--            S34O4--          SO184--          SO164--          Methane(aq)      Formaldehyde     H2O16            H2O18        
    2.0000000E-03   -1.3156988E-04    5.0117231E-03    6.5430763E-05    9.5780910E-03    4.3233093E-04    2.0207355E-05    9.9893173E-03    1.0000000E-08    1.1997383E+00    1.0000000E+00    2.0471268E-03
    6.0000000E-03   -3.9299751E-04    5.5345777E-03    1.9614443E-04    9.5980162E-03    4.3332315E-04    2.0251715E-05    1.0008394E-02    1.0000000E-08    1.1992154E+00    1.0000000E+00    2.0471204E-03
    1.0000000E-02   -6.5412898E-04    6.0568401E-03    3.2671001E-04    9.6180090E-03    4.3431820E-04    2.0296092E-05    1.0027539E-02    1.0000000E-08    1.1986932E+00    1.0000000E+00    2.0471142E-03
    1.4000000E-02   -9.1496249E-04    6.5785065E-03    4.5712662E-04    9.6380664E-03    4.3531593E-04    2.0340483E-05    1.0046749E-02    1.0000000E-08    1.1981715E+00    1.0000000E+00    2.0471080E-03
    1.8000000E-02   -1.1754962E-03    7.0995733E-03    5.8739333E-04    9.6581852E-03    4.3631620E-04    2.0384884E-05    1.0066022E-02    1.0000000E-08    1.1976504E+00    1.0000000E+00    2.0471020E-03
    2.2000000E-02   -1.4357284E-03    7.6200371E-03    7.1750927E-04    9.6783624E-03    4.3731888E-04    2.0429292E-05    1.0085353E-02    1.0000000E-08    1.1971300E+00    1.0000000E+00    2.0470962E-03
    2.6000000E-02   -1.6956572E-03    8.1398940E-03    8.4747351E-04    9.6985947E-03    4.3832382E-04    2.0473703E-05    1.0104742E-02    1.0000000E-08    1.1966101E+00    1.0000000E+00    2.0470904E-03
    3.0000000E-02   -1.9552808E-03    8.6591406E-03    9.7728516E-04    9.7188791E-03    4.3933088E-04    2.0518113E-05    1.0124183E-02    1.0000000E-08    1.1960909E+00    1.0000000E+00    2.0470847E-03
    3.4000000E-02   -2.2145974E-03    9.1777733E-03    1.1069433E-03    9.7392125E-03    4.4033992E-04    2.0562519E-05    1.0143674E-02    1.0000000E-08    1.1955722E+00    1.0000001E+00    2.0470791E-03
    3.8000000E-02   -2.4736052E-03    9.6957883E-03    1.2364471E-03    9.7595918E-03    4.4135080E-04    2.0606917E-05    1.0163212E-02    1.0000000E-08    1.1950542E+00    1.0000001E+00    2.0470737E-03
    4.2000000E-02   -2.7323024E-03    1.0213182E-02    1.3657955E-03    9.7800140E-03    4.4236338E-04    2.0651304E-05    1.0182794E-02    1.0000000E-08    1.1945368E+00    1.0000001E+00    2.0470683E-03
    4.6000000E-02   -2.9906872E-03    1.0729951E-02    1.4949878E-03    9.8004759E-03    4.4337752E-04    2.0695675E-05    1.0202417E-02    1.0000000E-08    1.1940200E+00    1.0000001E+00    2.0470630E-03
    5.0000000E-02   -3.2487578E-03    1.1246092E-02    1.6240229E-03    9.8209744E-03    4.4439309E-04    2.0740027E-05    1.0222077E-02    1.0000000E-08    1.1935039E+00    1.0000001E+00    2.0470578E-03
    5.4000000E-02   -3.5065123E-03    1.1761600E-02    1.7529000E-03    9.8415064E-03    4.4540993E-04    2.0784356E-05    1.0241772E-02    1.0000000E-08    1.1929884E+00    1.0000001E+00    2.0470527E-03
