# Time          1.0000E+00
# Units: Mol/kgw
    Distance           H+               CO2(aq)          H2S(aq)          SO4--            S34O4--          SO184--          SO164--          Methane(aq)      Formaldehyde     H2O16            H2O18        
    2.0000000E-03   -1.4330419E-04    5.0351910E-03    7.1297751E-05    9.6688025E-03    4.3642799E-04    2.0388994E-05    1.0078737E-02    1.0000000E-08    1.1997148E+00    1.0000000E+00    2.0471260E-03
    6.0000000E-03   -4.2819641E-04    5.6049735E-03    2.1374337E-04    9.8700915E-03    4.4561168E-04    2.0796514E-05    1.0276596E-02    1.0000000E-08    1.1991450E+00    1.0000000E+00    2.0471181E-03
    1.0000000E-02   -7.1278022E-04    6.1741392E-03    3.5603479E-04    1.0071270E-02    4.5479013E-04    2.1203696E-05    1.0474347E-02    1.0000000E-08    1.1985759E+00    1.0000000E+00    2.0471103E-03
    1.4000000E-02   -9.9704551E-04    6.7426678E-03    4.9816695E-04    1.0272214E-02    4.6395780E-04    2.1610298E-05    1.0671869E-02    1.0000000E-08    1.1980073E+00    1.0000000E+00    2.0471027E-03
    1.8000000E-02   -1.2809822E-03    7.3105392E-03    6.4013481E-04    1.0472802E-02    4.7310917E-04    2.2016079E-05    1.0869042E-02    1.0000000E-08    1.1974395E+00    1.0000000E+00    2.0470951E-03
    2.2000000E-02   -1.5645802E-03    7.8777334E-03    7.8193334E-04    1.0672911E-02    4.8223873E-04    2.2420798E-05    1.1065745E-02    1.0000000E-08    1.1968723E+00    1.0000000E+00    2.0470877E-03
    2.6000000E-02   -1.8478296E-03    8.4442301E-03    9.2355753E-04    1.0872422E-02    4.9134105E-04    2.2824219E-05    1.1261861E-02    1.0000000E-08    1.1963058E+00    1.0000000E+00    2.0470804E-03
    3.0000000E-02   -2.1307203E-03    9.0100096E-03    1.0650024E-03    1.1071215E-02    5.0041073E-04    2.3226105E-05    1.1457270E-02    1.0000000E-08    1.1957400E+00    1.0000001E+00    2.0470732E-03
    3.4000000E-02   -2.4132424E-03    9.5750519E-03    1.2062630E-03    1.1269171E-02    5.0944244E-04    2.3626224E-05    1.1651857E-02    1.0000000E-08    1.1951749E+00    1.0000001E+00    2.0470661E-03
    3.8000000E-02   -2.6953861E-03    1.0139337E-02    1.3473344E-03    1.1466175E-02    5.1843093E-04    2.4024345E-05    1.1845507E-02    1.0000000E-08    1.1946107E+00    1.0000001E+00    2.0470591E-03
    4.2000000E-02   -2.9771417E-03    1.0702847E-02    1.4882117E-03    1.1662111E-02    5.2737103E-04    2.4420243E-05    1.2038107E-02    1.0000000E-08    1.1940472E+00    1.0000001E+00    2.0470522E-03
    4.6000000E-02   -3.2584993E-03    1.1265560E-02    1.6288900E-03    1.1856867E-02    5.3625764E-04    2.4813694E-05    1.2229545E-02    1.0000000E-08    1.1934844E+00    1.0000001E+00    2.0470453E-03
    5.0000000E-02   -3.5394495E-03    1.1827459E-02    1.7693646E-03    1.2050332E-02    5.4508578E-04    2.5204480E-05    1.2419714E-02    1.0000000E-08    1.1929225E+00    1.0000001E+00    2.0470386E-03
    5.4000000E-02   -3.8199828E-03    1.2388523E-02    1.9096308E-03    1.2242399E-02    5.5385058E-04    2.5592388E-05    1.2608506E-02    1.0000000E-08    1.1923615E+00    1.0000001E+00    2.0470320E-03
    5.8000000E-02   -4.1000896E-03    1.2948735E-02    2.0496838E-03    1.2432961E-02    5.6254726E-04    2.5977209E-05    1.2795817E-02    1.0000000E-08    1.1918013E+00    1.0000001E+00    2.0470255E-03
    6.2000000E-02   -4.3797609E-03    1.3508076E-02    2.1895189E-03    1.2621915E-02    5.7117118E-04    2.6358739E-05    1.2981547E-02    1.0000000E-08    1.1912419E+00    1.0000001E+00    2.0470190E-03
    6.6000000E-02   -4.6589873E-03    1.4066527E-02    2.3291317E-03    1.2809163E-02    5.7971783E-04    2.6736780E-05    1.3165595E-02    1.0000000E-08    1.1906835E+00    1.0000001E+00    2.0470127E-03
    7.0000000E-02   -4.9377600E-03    1.4624070E-02    2.4685176E-03    1.2994606E-02    5.8818282E-04    2.7111140E-05    1.3347867E-02    1.0000000E-08    1.1901259E+00    1.0000001E+00    2.0470064E-03
    7.4000000E-02   -5.2160700E-03    1.5180688E-02    2.6076721E-03    1.3178150E-02    5.9656190E-04    2.7481634E-05    1.3528270E-02    1.0000000E-08    1.1895693E+00    1.0000001E+00    2.0470002E-03
    7.8000000E-02   -5.4939085E-03    1.5736364E-02    2.7465909E-03    1.3359705E-02    6.0485098E-04    2.7848080E-05    1.3706714E-02    1.0000000E-08    1.1890136E+00    1.0000001E+00    2.0469941E-03
    8.2000000E-02   -5.7712670E-03    1.6291079E-02    2.8852697E-03    1.3539183E-02    6.1304610E-04    2.8210307E-05    1.3883113E-02    1.0000000E-08    1.1884589E+00    1.0000001E+00    2.0469881E-03
    8.6000000E-02   -6.0481371E-03    1.6844817E-02    3.0237043E-03    1.3716499E-02    6.2114347E-04    2.8568147E-05    1.4057384E-02    1.0000000E-08    1.1879052E+00    1.0000001E+00    2.0469822E-03
    9.0000000E-02   -6.3245103E-03    1.7397562E-02    3.1618905E-03    1.3891574E-02    6.2913944E-04    2.8921441E-05    1.4229447E-02    1.0000000E-08    1.1873524E+00    1.0000002E+00    2.0469763E-03
    9.4000000E-02   -6.6003788E-03    1.7949297E-02    3.2998243E-03    1.4064330E-02    6.3703054E-04    2.9270036E-05    1.4399227E-02    1.0000000E-08    1.1868007E+00    1.0000002E+00    2.0469705E-03
    9.8000000E-02   -6.8757343E-03    1.8500007E-02    3.4375016E-03    1.4234694E-02    6.4481345E-04    2.9613788E-05    1.4566652E-02    1.0000000E-08    1.1862500E+00    1.0000002E+00    2.0469648E-03
    1.0200000E-01   -7.1505693E-03    1.9049675E-02    3.5749187E-03    1.4402596E-02    6.5248501E-04    2.9952556E-05    1.4731651E-02    1.0000000E-08    1.1857003E+00    1.0000002E+00    2.0469592E-03
    1.0600000E-01   -7.4248761E-03    1.9598287E-02    3.7120717E-03    1.4567969E-02    6.6004225E-04    3.0286212E-05    1.4894161E-02    1.0000000E-08    1.1851517E+00    1.0000002E+00    2.0469537E-03
    1.1000000E-01   -7.6986473E-03    2.0145827E-02    3.8489569E-03    1.4730752E-02    6.6748235E-04    3.0614632E-05    1.5054120E-02    1.0000000E-08    1.1846042E+00    1.0000002E+00    2.0469482E-03
    1.1400000E-01   -7.9718756E-03    2.0692283E-02    3.9855706E-03    1.4890886E-02    6.7480267E-04    3.0937700E-05    1.5211470E-02    1.0000000E-08    1.1840577E+00    1.0000002E+00    2.0469428E-03
    1.1800000E-01   -8.2445541E-03    2.1237638E-02    4.1219094E-03    1.5048316E-02    6.8200074E-04    3.1255307E-05    1.5366157E-02    1.0000000E-08    1.1835124E+00    1.0000002E+00    2.0469375E-03
    1.2200000E-01   -8.5166758E-03    2.1781880E-02    4.2579699E-03    1.5202991E-02    6.8907424E-04    3.1567353E-05    1.5518130E-02    1.0000000E-08    1.1829681E+00    1.0000002E+00    2.0469323E-03
    1.2600000E-01   -8.7882340E-03    2.2324995E-02    4.3937486E-03    1.5354864E-02    6.9602106E-04    3.1873744E-05    1.5667344E-02    1.0000000E-08    1.1824250E+00    1.0000002E+00    2.0469271E-03
    1.3000000E-01   -9.0592224E-03    2.2866970E-02    4.5292425E-03    1.5503892E-02    7.0283922E-04    3.2174395E-05    1.5813755E-02    1.0000000E-08    1.1818830E+00    1.0000002E+00    2.0469220E-03
    1.3400000E-01   -9.3296347E-03    2.3407793E-02    4.6644482E-03    1.5650034E-02    7.0952693E-04    3.2469227E-05    1.5957325E-02    1.0000000E-08    1.1813422E+00    1.0000002E+00    2.0469170E-03
    1.3800000E-01   -9.5994647E-03    2.3947451E-02    4.7993628E-03    1.5793255E-02    7.1608256E-04    3.2758168E-05    1.6098017E-02    1.0000000E-08    1.1808025E+00    1.0000002E+00    2.0469120E-03
    1.4200000E-01   -9.8687066E-03    2.4485934E-02    4.9339834E-03    1.5933522E-02    7.2250465E-04    3.3041156E-05    1.6235800E-02    1.0000000E-08    1.1802641E+00    1.0000002E+00    2.0469071E-03
    1.4600000E-01   -1.0137355E-02    2.5023228E-02    5.0683071E-03    1.6070807E-02    7.2879191E-04    3.3318133E-05    1.6370645E-02    1.0000000E-08    1.1797268E+00    1.0000002E+00    2.0469023E-03
    1.5000000E-01   -1.0405404E-02    2.5559325E-02    5.2023311E-03    1.6205084E-02    7.3494318E-04    3.3589050E-05    1.6502528E-02    1.0000000E-08    1.1791907E+00    1.0000002E+00    2.0468975E-03
    1.5400000E-01   -1.0672848E-02    2.6094212E-02    5.3360529E-03    1.6336332E-02    7.4095750E-04    3.3853865E-05    1.6631426E-02    1.0000000E-08    1.1786558E+00    1.0000002E+00    2.0468929E-03
    1.5800000E-01   -1.0939682E-02    2.6627880E-02    5.4694699E-03    1.6464533E-02    7.4683402E-04    3.4112540E-05    1.6757323E-02    1.0000000E-08    1.1781221E+00    1.0000002E+00    2.0468882E-03
    1.6200000E-01   -1.1205902E-02    2.7160318E-02    5.6025796E-03    1.6589670E-02    7.5257209E-04    3.4365048E-05    1.6880203E-02    1.0000000E-08    1.1775897E+00    1.0000002E+00    2.0468837E-03
    1.6600000E-01   -1.1471503E-02    2.7691519E-02    5.7353797E-03    1.6711734E-02    7.5817116E-04    3.4611366E-05    1.7000055E-02    1.0000000E-08    1.1770585E+00    1.0000003E+00    2.0468792E-03
    1.7000000E-01   -1.1736480E-02    2.8221472E-02    5.8678679E-03    1.6830715E-02    7.6363086E-04    3.4851477E-05    1.7116871E-02    1.0000000E-08    1.1765285E+00    1.0000003E+00    2.0468748E-03
    1.7400000E-01   -1.2000830E-02    2.8750169E-02    6.0000421E-03    1.6946608E-02    7.6895094E-04    3.5085371E-05    1.7230644E-02    1.0000000E-08    1.1759998E+00    1.0000003E+00    2.0468704E-03
    1.7800000E-01   -1.2264547E-02    2.9277601E-02    6.1319003E-03    1.7059411E-02    7.7413130E-04    3.5313045E-05    1.7341374E-02    1.0000000E-08    1.1754724E+00    1.0000003E+00    2.0468661E-03
