# Time          5.0000E+02
# Units: Mol/kgw
    Distance        SO4--            SO164--         
    2.0000000E-03    2.7994418E-02    2.6990622E-02
    6.0000000E-03    2.7974622E-02    2.6971886E-02
    1.0000000E-02    2.7954848E-02    2.6953170E-02
    1.4000000E-02    2.7935094E-02    2.6934474E-02
    1.8000000E-02    2.7915362E-02    2.6915797E-02
    2.2000000E-02    2.7895651E-02    2.6897140E-02
    2.6000000E-02    2.7875960E-02    2.6878502E-02
    3.0000000E-02    2.7856291E-02    2.6859884E-02
    3.4000000E-02    2.7836642E-02    2.6841286E-02
    3.8000000E-02    2.7817015E-02    2.6822708E-02
    4.2000000E-02    2.7797409E-02    2.6804149E-02
    4.6000000E-02    2.7777823E-02    2.6785609E-02
    5.0000000E-02    2.7758259E-02    2.6767090E-02
    5.4000000E-02    2.7738715E-02    2.6748590E-02
    5.8000000E-02    2.7719193E-02    2.6730110E-02
    6.2000000E-02    2.7699691E-02    2.6711649E-02
    6.6000000E-02    2.7680211E-02    2.6693208E-02
    7.0000000E-02    2.7660751E-02    2.6674786E-02
    7.4000000E-02    2.7641312E-02    2.6656385E-02
    7.8000000E-02    2.7621895E-02    2.6638002E-02
    8.2000000E-02    2.7602498E-02    2.6619640E-02
    8.6000000E-02    2.7583122E-02    2.6601297E-02
    9.0000000E-02    2.7563767E-02    2.6582973E-02
    9.4000000E-02    2.7544433E-02    2.6564670E-02
    9.8000000E-02    2.7525120E-02    2.6546385E-02
    1.0200000E-01    2.7505827E-02    2.6528121E-02
    1.0600000E-01    2.7486556E-02    2.6509876E-02
    1.1000000E-01    2.7467306E-02    2.6491650E-02
    1.1400000E-01    2.7448076E-02    2.6473444E-02
    1.1800000E-01    2.7428867E-02    2.6455258E-02
    1.2200000E-01    2.7409680E-02    2.6437091E-02
    1.2600000E-01    2.7390513E-02    2.6418944E-02
    1.3000000E-01    2.7371367E-02    2.6400816E-02
    1.3400000E-01    2.7352241E-02    2.6382708E-02
    1.3800000E-01    2.7333137E-02    2.6364619E-02
    1.4200000E-01    2.7314054E-02    2.6346550E-02
    1.4600000E-01    2.7294991E-02    2.6328501E-02
    1.5000000E-01    2.7275949E-02    2.6310471E-02
    1.5400000E-01    2.7256928E-02    2.6292460E-02
    1.5800000E-01    2.7237928E-02    2.6274469E-02
    1.6200000E-01    2.7218949E-02    2.6256498E-02
    1.6600000E-01    2.7199990E-02    2.6238546E-02
    1.7000000E-01    2.7181053E-02    2.6220614E-02
    1.7400000E-01    2.7162136E-02    2.6202701E-02
    1.7800000E-01    2.7143240E-02    2.6184807E-02
    1.8200000E-01    2.7124364E-02    2.6166933E-02
    1.8600000E-01    2.7105510E-02    2.6149079E-02
    1.9000000E-01    2.7086676E-02    2.6131244E-02
    1.9400000E-01    2.7067863E-02    2.6113429E-02
    1.9800000E-01    2.7049071E-02    2.6095633E-02
    2.0200000E-01    2.7030300E-02    2.6077856E-02
    2.0600000E-01    2.7011549E-02    2.6060099E-02
    2.1000000E-01    2.6992820E-02    2.6042362E-02
    2.1400000E-01    2.6974111E-02    2.6024644E-02
    2.1800000E-01    2.6955422E-02    2.6006945E-02
    2.2200000E-01    2.6936755E-02    2.5989266E-02
    2.2600000E-01    2.6918108E-02    2.5971606E-02
    2.3000000E-01    2.6899482E-02    2.5953966E-02
    2.3400000E-01    2.6880877E-02    2.5936345E-02
    2.3800000E-01    2.6862292E-02    2.5918743E-02
