# Time          5.0000E+01
# Units: Log10 mol/kgw
    Distance      pH               H+               CO2(aq)          H2S(aq)          SO4--            S34O4--          SO184--          SO164--          Methane(aq)      Formaldehyde     H2O16            H2O18            OH-          
    2.0000000E-03    1.0180512E+01   -1.0100644E+01   -2.3084305E+00   -4.3832081E+00   -1.5722574E+00   -2.9181688E+00   -4.2638956E+00   -1.5698389E+00   -7.9999999E+00    7.9121337E-02    1.8845934E-09   -2.6888555E+00   -4.0781551E+00
    6.0000000E-03    1.0654843E+01   -1.0574987E+01   -2.2801387E+00   -3.9062298E+00   -1.5729155E+00   -2.9188104E+00   -4.2644812E+00   -1.5704898E+00   -7.9999999E+00    7.9001555E-02    5.5998442E-09   -2.6888573E+00   -3.6038543E+00
    1.0000000E-02    1.0876069E+01   -1.0796227E+01   -2.2535906E+00   -3.6844958E+00   -1.5735742E+00   -2.9194527E+00   -4.2650682E+00   -1.5711413E+00   -7.9999999E+00    7.8881800E-02    9.2618544E-09   -2.6888591E+00   -3.3826578E+00
    1.4000000E-02    1.1021886E+01   -1.0942056E+01   -2.2285845E+00   -3.5384788E+00   -1.5742337E+00   -2.9200956E+00   -4.2656567E+00   -1.5717934E+00   -7.9999999E+00    7.8762072E-02    1.2871311E-08   -2.6888608E+00   -3.2368714E+00
    1.8000000E-02    1.1130822E+01   -1.1051006E+01   -2.2049516E+00   -3.4294445E+00   -1.5748937E+00   -2.9207392E+00   -4.2662466E+00   -1.5724463E+00   -7.9999999E+00    7.8642370E-02    1.6428893E-08   -2.6888626E+00   -3.1279652E+00
    2.2000000E-02    1.1217811E+01   -1.1138008E+01   -2.1825497E+00   -3.3424042E+00   -1.5755545E+00   -2.9213834E+00   -4.2668379E+00   -1.5730997E+00   -7.9999999E+00    7.8522696E-02    1.9935271E-08   -2.6888643E+00   -3.0410064E+00
    2.6000000E-02    1.1290225E+01   -1.1210435E+01   -2.1612574E+00   -3.2699634E+00   -1.5762159E+00   -2.9220282E+00   -4.2674307E+00   -1.5737538E+00   -7.9999999E+00    7.8403050E-02    2.3391106E-08   -2.6888660E+00   -2.9686222E+00
    3.0000000E-02    1.1352252E+01   -1.1272474E+01   -2.1409705E+00   -3.2079256E+00   -1.5768780E+00   -2.9226737E+00   -4.2680248E+00   -1.5744086E+00   -7.9999999E+00    7.8283431E-02    2.6797052E-08   -2.6888676E+00   -2.9066258E+00
    3.4000000E-02    1.1406498E+01   -1.1326733E+01   -2.1215988E+00   -3.1536783E+00   -1.5775408E+00   -2.9233198E+00   -4.2686204E+00   -1.5750640E+00   -7.9999999E+00    7.8163841E-02    3.0153756E-08   -2.6888693E+00   -2.8524101E+00
    3.8000000E-02    1.1454697E+01   -1.1374945E+01   -2.1030638E+00   -3.1054843E+00   -1.5782042E+00   -2.9239666E+00   -4.2692173E+00   -1.5757201E+00   -7.9999999E+00    7.8044280E-02    3.3461855E-08   -2.6888709E+00   -2.8042411E+00
    4.2000000E-02    1.1498061E+01   -1.1418323E+01   -2.0852966E+00   -3.0621295E+00   -1.5788683E+00   -2.9246140E+00   -4.2698156E+00   -1.5763768E+00   -7.9999999E+00    7.7924748E-02    3.6721979E-08   -2.6888725E+00   -2.7609066E+00
    4.6000000E-02    1.1537472E+01   -1.1457747E+01   -2.0682364E+00   -3.0227323E+00   -1.5795331E+00   -2.9252621E+00   -4.2704153E+00   -1.5770342E+00   -7.9999999E+00    7.7805245E-02    3.9934752E-08   -2.6888740E+00   -2.7215261E+00
    5.0000000E-02    1.1573589E+01   -1.1493876E+01   -2.0518296E+00   -2.9866317E+00   -1.5801985E+00   -2.9259107E+00   -4.2710164E+00   -1.5776923E+00   -7.9999999E+00    7.7685771E-02    4.3100787E-08   -2.6888756E+00   -2.6854396E+00
    5.4000000E-02    1.1606919E+01   -1.1527219E+01   -2.0360283E+00   -2.9533200E+00   -1.5808646E+00   -2.9265601E+00   -4.2716188E+00   -1.5783509E+00   -7.9999999E+00    7.7566328E-02    4.6220691E-08   -2.6888771E+00   -2.6521398E+00
    5.8000000E-02    1.1637860E+01   -1.1558174E+01   -2.0207897E+00   -2.9223981E+00   -1.5815314E+00   -2.9272100E+00   -4.2722225E+00   -1.5790103E+00   -7.9999999E+00    7.7446915E-02    4.9295065E-08   -2.6888786E+00   -2.6212283E+00
    6.2000000E-02    1.1666733E+01   -1.1587059E+01   -2.0060754E+00   -2.8935471E+00   -1.5821988E+00   -2.9278606E+00   -4.2728276E+00   -1.5796703E+00   -7.9999999E+00    7.7327532E-02    5.2324500E-08   -2.6888801E+00   -2.5923863E+00
    6.6000000E-02    1.1693794E+01   -1.1614133E+01   -1.9918508E+00   -2.8665080E+00   -1.5828669E+00   -2.9285119E+00   -4.2734340E+00   -1.5803309E+00   -7.9999999E+00    7.7208181E-02    5.5309582E-08   -2.6888816E+00   -2.5653550E+00
