# Time          2.5000E+01
# Units: Log10 mol/kgw
    Distance      pH               H+               CO2(aq)          H2S(aq)          SO4--            S34O4--          SO184--          SO164--          Methane(aq)      Formaldehyde     H2O16            H2O18            OH-          
    2.0000000E-03    1.0241380E+01   -1.0161513E+01   -2.3062155E+00   -4.3218143E+00   -1.5723075E+00   -2.9182171E+00   -4.2639453E+00   -1.5698882E+00   -7.9999999E+00    7.9112240E-02    1.8746019E-09   -2.6888555E+00   -4.0172895E+00
    6.0000000E-03    1.0716085E+01   -1.0636233E+01   -2.2739416E+00   -3.8448174E+00   -1.5730660E+00   -2.9189555E+00   -4.2646305E+00   -1.5706379E+00   -7.9999999E+00    7.8974255E-02    5.5698657E-09   -2.6888573E+00   -3.5426191E+00
    1.0000000E-02    1.0937402E+01   -1.0857565E+01   -2.2439136E+00   -3.6230690E+00   -1.5738255E+00   -2.9196950E+00   -4.2653174E+00   -1.5713885E+00   -7.9999999E+00    7.8836287E-02    9.2118765E-09   -2.6888590E+00   -3.3213375E+00
    1.4000000E-02    1.1083268E+01   -1.1003446E+01   -2.2158402E+00   -3.4770384E+00   -1.5745860E+00   -2.9204353E+00   -4.2660061E+00   -1.5721401E+00   -7.9999999E+00    7.8698335E-02    1.2801314E-08   -2.6888608E+00   -3.1755071E+00
    1.8000000E-02    1.1192239E+01   -1.1112432E+01   -2.1894832E+00   -3.3679908E+00   -1.5753474E+00   -2.9211766E+00   -4.2666965E+00   -1.5728926E+00   -7.9999999E+00    7.8560401E-02    1.6338849E-08   -2.6888625E+00   -3.0665708E+00
    2.2000000E-02    1.1279256E+01   -1.1199465E+01   -2.1646454E+00   -3.2809377E+00   -1.5761099E+00   -2.9219189E+00   -4.2673886E+00   -1.5736462E+00   -7.9999999E+00    7.8422485E-02    1.9825145E-08   -2.6888642E+00   -2.9795885E+00
    2.6000000E-02    1.1351696E+01   -1.1271919E+01   -2.1411620E+00   -3.2084844E+00   -1.5768734E+00   -2.9226621E+00   -4.2680824E+00   -1.5744006E+00   -7.9999999E+00    7.8284587E-02    2.3260856E-08   -2.6888659E+00   -2.9071842E+00
    3.0000000E-02    1.1413745E+01   -1.1333983E+01   -2.1188935E+00   -3.1464344E+00   -1.5776378E+00   -2.9234062E+00   -4.2687779E+00   -1.5751561E+00   -7.9999999E+00    7.8146709E-02    2.6646631E-08   -2.6888676E+00   -2.8451702E+00
    3.4000000E-02    1.1468012E+01   -1.1388265E+01   -2.0977208E+00   -3.0921752E+00   -1.5784033E+00   -2.9241513E+00   -4.2694751E+00   -1.5759125E+00   -7.9999999E+00    7.8008850E-02    2.9983108E-08   -2.6888692E+00   -2.7909385E+00
    3.8000000E-02    1.1516231E+01   -1.1436500E+01   -2.0775418E+00   -3.0439696E+00   -1.5791697E+00   -2.9248973E+00   -4.2701739E+00   -1.5766699E+00   -7.9999999E+00    7.7871012E-02    3.3270918E-08   -2.6888708E+00   -2.7427546E+00
