# Time          1.0000E+03
# Units: Mol/kgw
    Distance           H+               CO2(aq)          H2S(aq)          SO4--            S34O4--          SO184--          SO164--          Methane(aq)      Formaldehyde     H2O16            H2O18        
    2.0000000E-03   -3.4447947E-05    4.8173556E-03    1.6838910E-05    2.6787774E-02    1.2078819E-03    5.4487859E-05    2.6937343E-02    1.0000000E-08    1.1999326E+00    1.0000000E+00    2.0471256E-03
    6.0000000E-03   -1.0172213E-04    4.9519040E-03    5.0476003E-05    2.6771162E-02    1.2071743E-03    5.4463491E-05    2.6921050E-02    1.0000000E-08    1.1997981E+00    1.0000000E+00    2.0471169E-03
    1.0000000E-02   -1.6891491E-04    5.0862896E-03    8.4072391E-05    2.6754570E-02    1.2064675E-03    5.4439041E-05    2.6904777E-02    1.0000000E-08    1.1996637E+00    1.0000000E+00    2.0471083E-03
    1.4000000E-02   -2.3602632E-04    5.2205124E-03    1.1762810E-04    2.6737999E-02    1.2057616E-03    5.4414509E-05    2.6888523E-02    1.0000000E-08    1.1995295E+00    1.0000000E+00    2.0470998E-03
    1.8000000E-02   -3.0305641E-04    5.3545726E-03    1.5114314E-04    2.6721447E-02    1.2050565E-03    5.4389897E-05    2.6872289E-02    1.0000000E-08    1.1993954E+00    1.0000000E+00    2.0470914E-03
    2.2000000E-02   -3.7000522E-04    5.4884702E-03    1.8461755E-04    2.6704916E-02    1.2043523E-03    5.4365208E-05    2.6856075E-02    1.0000000E-08    1.1992615E+00    1.0000000E+00    2.0470832E-03
    2.6000000E-02   -4.3687281E-04    5.6222054E-03    2.1805134E-04    2.6688405E-02    1.2036489E-03    5.4340441E-05    2.6839880E-02    1.0000000E-08    1.1991278E+00    1.0000001E+00    2.0470751E-03
    3.0000000E-02   -5.0365921E-04    5.7557782E-03    2.5144454E-04    2.6671914E-02    1.2029464E-03    5.4315600E-05    2.6823705E-02    1.0000000E-08    1.1989942E+00    1.0000001E+00    2.0470670E-03
    3.4000000E-02   -5.7036447E-04    5.8891887E-03    2.8479717E-04    2.6655443E-02    1.2022447E-03    5.4290686E-05    2.6807550E-02    1.0000000E-08    1.1988608E+00    1.0000001E+00    2.0470591E-03
    3.8000000E-02   -6.3698863E-04    6.0224370E-03    3.1810925E-04    2.6638993E-02    1.2015438E-03    5.4265699E-05    2.6791415E-02    1.0000000E-08    1.1987276E+00    1.0000001E+00    2.0470514E-03
    4.2000000E-02   -7.0353174E-04    6.1555232E-03    3.5138081E-04    2.6622562E-02    1.2008438E-03    5.4240642E-05    2.6775299E-02    1.0000000E-08    1.1985945E+00    1.0000001E+00    2.0470437E-03
