# Time          1.0000E+03
# Units: Mol/kgw
    Distance        SO4--            SO164--         
    2.0000000E-03    2.7995656E-02    2.6991831E-02
    6.0000000E-03    2.7978336E-02    2.6975514E-02
    1.0000000E-02    2.7961038E-02    2.6959216E-02
    1.4000000E-02    2.7943760E-02    2.6942938E-02
    1.8000000E-02    2.7926504E-02    2.6926679E-02
    2.2000000E-02    2.7909269E-02    2.6910440E-02
    2.6000000E-02    2.7892054E-02    2.6894221E-02
    3.0000000E-02    2.7874861E-02    2.6878021E-02
    3.4000000E-02    2.7857688E-02    2.6861841E-02
    3.8000000E-02    2.7840536E-02    2.6845680E-02
    4.2000000E-02    2.7823406E-02    2.6829540E-02
    4.6000000E-02    2.7806296E-02    2.6813418E-02
    5.0000000E-02    2.7789207E-02    2.6797317E-02
    5.4000000E-02    2.7772139E-02    2.6781234E-02
    5.8000000E-02    2.7755092E-02    2.6765172E-02
    6.2000000E-02    2.7738066E-02    2.6749129E-02
    6.6000000E-02    2.7721060E-02    2.6733105E-02
    7.0000000E-02    2.7704076E-02    2.6717101E-02
    7.4000000E-02    2.7687112E-02    2.6701117E-02
    7.8000000E-02    2.7670169E-02    2.6685152E-02
    8.2000000E-02    2.7653247E-02    2.6669206E-02
    8.6000000E-02    2.7636346E-02    2.6653280E-02
    9.0000000E-02    2.7619466E-02    2.6637374E-02
    9.4000000E-02    2.7602606E-02    2.6621487E-02
    9.8000000E-02    2.7585767E-02    2.6605619E-02
    1.0200000E-01    2.7568949E-02    2.6589771E-02
    1.0600000E-01    2.7552152E-02    2.6573942E-02
    1.1000000E-01    2.7535375E-02    2.6558133E-02
    1.1400000E-01    2.7518619E-02    2.6542343E-02
    1.1800000E-01    2.7501884E-02    2.6526572E-02
    1.2200000E-01    2.7485169E-02    2.6510821E-02
    1.2600000E-01    2.7468475E-02    2.6495089E-02
    1.3000000E-01    2.7451802E-02    2.6479377E-02
    1.3400000E-01    2.7435150E-02    2.6463683E-02
    1.3800000E-01    2.7418518E-02    2.6448010E-02
    1.4200000E-01    2.7401907E-02    2.6432355E-02
    1.4600000E-01    2.7385316E-02    2.6416720E-02
    1.5000000E-01    2.7368746E-02    2.6401104E-02
    1.5400000E-01    2.7352197E-02    2.6385508E-02
    1.5800000E-01    2.7335668E-02    2.6369931E-02
    1.6200000E-01    2.7319160E-02    2.6354373E-02
    1.6600000E-01    2.7302672E-02    2.6338834E-02
    1.7000000E-01    2.7286205E-02    2.6323315E-02
    1.7400000E-01    2.7269759E-02    2.6307815E-02
    1.7800000E-01    2.7253333E-02    2.6292334E-02
    1.8200000E-01    2.7236927E-02    2.6276872E-02
    1.8600000E-01    2.7220543E-02    2.6261430E-02
    1.9000000E-01    2.7204178E-02    2.6246007E-02
    1.9400000E-01    2.7187834E-02    2.6230602E-02
    1.9800000E-01    2.7171511E-02    2.6215218E-02
    2.0200000E-01    2.7155208E-02    2.6199852E-02
    2.0600000E-01    2.7138925E-02    2.6184506E-02
    2.1000000E-01    2.7122663E-02    2.6169178E-02
    2.1400000E-01    2.7106422E-02    2.6153870E-02
    2.1800000E-01    2.7090201E-02    2.6138581E-02
    2.2200000E-01    2.7074000E-02    2.6123311E-02
    2.2600000E-01    2.7057820E-02    2.6108060E-02
    2.3000000E-01    2.7041660E-02    2.6092829E-02
    2.3400000E-01    2.7025520E-02    2.6077616E-02
    2.3800000E-01    2.7009401E-02    2.6062423E-02
    2.4200000E-01    2.6993302E-02    2.6047248E-02
    2.4600000E-01    2.6977224E-02    2.6032093E-02
    2.5000000E-01    2.6961165E-02    2.6016957E-02
    2.5400000E-01    2.6945128E-02    2.6001839E-02
    2.5800000E-01    2.6929110E-02    2.5986741E-02
    2.6200000E-01    2.6913113E-02    2.5971662E-02
    2.6600000E-01    2.6897136E-02    2.5956602E-02
    2.7000000E-01    2.6881180E-02    2.5941561E-02
    2.7400000E-01    2.6865243E-02    2.5926539E-02
    2.7800000E-01    2.6849327E-02    2.5911535E-02
    2.8200000E-01    2.6833431E-02    2.5896551E-02
    2.8600000E-01    2.6817556E-02    2.5881586E-02
    2.9000000E-01    2.6801701E-02    2.5866640E-02
    2.9400000E-01    2.6785865E-02    2.5851713E-02
    2.9800000E-01    2.6770051E-02    2.5836804E-02
    3.0200000E-01    2.6754256E-02    2.5821915E-02
    3.0600000E-01    2.6738481E-02    2.5807044E-02
    3.1000000E-01    2.6722727E-02    2.5792193E-02
    3.1400000E-01    2.6706993E-02    2.5777360E-02
    3.1800000E-01    2.6691279E-02    2.5762546E-02
    3.2200000E-01    2.6675585E-02    2.5747752E-02
    3.2600000E-01    2.6659911E-02    2.5732976E-02
    3.3000000E-01    2.6644258E-02    2.5718218E-02
    3.3400000E-01    2.6628624E-02    2.5703480E-02
    3.3800000E-01    2.6613011E-02    2.5688761E-02
    3.4200000E-01    2.6597418E-02    2.5674060E-02
    3.4600000E-01    2.6581844E-02    2.5659378E-02
    3.5000000E-01    2.6566291E-02    2.5644715E-02
    3.5400000E-01    2.6550758E-02    2.5630071E-02
    3.5800000E-01    2.6535245E-02    2.5615446E-02
    3.6200000E-01    2.6519752E-02    2.5600839E-02
    3.6600000E-01    2.6504279E-02    2.5586251E-02
    3.7000000E-01    2.6488826E-02    2.5571682E-02
    3.7400000E-01    2.6473393E-02    2.5557132E-02
    3.7800000E-01    2.6457980E-02    2.5542600E-02
    3.8200000E-01    2.6442587E-02    2.5528088E-02
    3.8600000E-01    2.6427215E-02    2.5513594E-02
    3.9000000E-01    2.6411862E-02    2.5499118E-02
    3.9400000E-01    2.6396528E-02    2.5484662E-02
    3.9800000E-01    2.6381215E-02    2.5470224E-02
    4.0200000E-01    2.6365922E-02    2.5455805E-02
    4.0600000E-01    2.6350649E-02    2.5441404E-02
    4.1000000E-01    2.6335396E-02    2.5427022E-02
    4.1400000E-01    2.6320162E-02    2.5412659E-02
    4.1800000E-01    2.6304949E-02    2.5398314E-02
    4.2200000E-01    2.6289755E-02    2.5383988E-02
    4.2600000E-01    2.6274581E-02    2.5369681E-02
    4.3000000E-01    2.6259427E-02    2.5355392E-02
    4.3400000E-01    2.6244293E-02    2.5341122E-02
    4.3800000E-01    2.6229179E-02    2.5326871E-02
    4.4200000E-01    2.6214085E-02    2.5312638E-02
    4.4600000E-01    2.6199010E-02    2.5298424E-02
    4.5000000E-01    2.6183956E-02    2.5284228E-02
    4.5400000E-01    2.6168921E-02    2.5270051E-02
    4.5800000E-01    2.6153906E-02    2.5255893E-02
    4.6200000E-01    2.6138910E-02    2.5241753E-02
    4.6600000E-01    2.6123935E-02    2.5227631E-02
    4.7000000E-01    2.6108979E-02    2.5213528E-02
    4.7400000E-01    2.6094043E-02    2.5199444E-02
    4.7800000E-01    2.6079126E-02    2.5185378E-02
    4.8200000E-01    2.6064230E-02    2.5171331E-02
    4.8600000E-01    2.6049353E-02    2.5157302E-02
    4.9000000E-01    2.6034496E-02    2.5143292E-02
    4.9400000E-01    2.6019658E-02    2.5129300E-02
    4.9800000E-01    2.6004840E-02    2.5115326E-02
    5.0200000E-01    2.5990042E-02    2.5101371E-02
    5.0600000E-01    2.5975264E-02    2.5087435E-02
    5.1000000E-01    2.5960505E-02    2.5073517E-02
    5.1400000E-01    2.5945766E-02    2.5059617E-02
    5.1800000E-01    2.5931047E-02    2.5045736E-02
    5.2200000E-01    2.5916347E-02    2.5031873E-02
    5.2600000E-01    2.5901666E-02    2.5018029E-02
    5.3000000E-01    2.5887006E-02    2.5004203E-02
    5.3400000E-01    2.5872365E-02    2.4990395E-02
    5.3800000E-01    2.5857743E-02    2.4976606E-02
    5.4200000E-01    2.5843142E-02    2.4962835E-02
    5.4600000E-01    2.5828559E-02    2.4949083E-02
    5.5000000E-01    2.5813997E-02    2.4935348E-02
    5.5400000E-01    2.5799453E-02    2.4921633E-02
    5.5800000E-01    2.5784930E-02    2.4907935E-02
    5.6200000E-01    2.5770426E-02    2.4894256E-02
    5.6600000E-01    2.5755941E-02    2.4880595E-02
    5.7000000E-01    2.5741476E-02    2.4866953E-02
    5.7400000E-01    2.5727031E-02    2.4853329E-02
    5.7800000E-01    2.5712605E-02    2.4839723E-02
    5.8200000E-01    2.5698198E-02    2.4826135E-02
    5.8600000E-01    2.5683811E-02    2.4812566E-02
    5.9000000E-01    2.5669443E-02    2.4799015E-02
    5.9400000E-01    2.5655095E-02    2.4785482E-02
    5.9800000E-01    2.5640766E-02    2.4771967E-02
    6.0200000E-01    2.5626457E-02    2.4758471E-02
    6.0600000E-01    2.5612167E-02    2.4744993E-02
    6.1000000E-01    2.5597897E-02    2.4731533E-02
    6.1400000E-01    2.5583646E-02    2.4718091E-02
    6.1800000E-01    2.5569414E-02    2.4704668E-02
    6.2200000E-01    2.5555202E-02    2.4691262E-02
    6.2600000E-01    2.5541009E-02    2.4677875E-02
    6.3000000E-01    2.5526835E-02    2.4664506E-02
    6.3400000E-01    2.5512681E-02    2.4651156E-02
    6.3800000E-01    2.5498546E-02    2.4637823E-02
    6.4200000E-01    2.5484431E-02    2.4624509E-02
    6.4600000E-01    2.5470335E-02    2.4611212E-02
    6.5000000E-01    2.5456258E-02    2.4597934E-02
    6.5400000E-01    2.5442201E-02    2.4584674E-02
    6.5800000E-01    2.5428162E-02    2.4571432E-02
    6.6200000E-01    2.5414143E-02    2.4558208E-02
    6.6600000E-01    2.5400144E-02    2.4545003E-02
    6.7000000E-01    2.5386163E-02    2.4531815E-02
    6.7400000E-01    2.5372202E-02    2.4518645E-02
    6.7800000E-01    2.5358260E-02    2.4505494E-02
    6.8200000E-01    2.5344338E-02    2.4492360E-02
    6.8600000E-01    2.5330434E-02    2.4479245E-02
    6.9000000E-01    2.5316550E-02    2.4466148E-02
    6.9400000E-01    2.5302685E-02    2.4453068E-02
    6.9800000E-01    2.5288840E-02    2.4440007E-02
    7.0200000E-01    2.5275013E-02    2.4426964E-02
    7.0600000E-01    2.5261206E-02    2.4413939E-02
    7.1000000E-01    2.5247418E-02    2.4400932E-02
    7.1400000E-01    2.5233649E-02    2.4387942E-02
    7.1800000E-01    2.5219899E-02    2.4374971E-02
    7.2200000E-01    2.5206168E-02    2.4362018E-02
    7.2600000E-01    2.5192457E-02    2.4349083E-02
    7.3000000E-01    2.5178764E-02    2.4336165E-02
    7.3400000E-01    2.5165091E-02    2.4323266E-02
