# Time          5.0000E+02
# Units: Mol/kgw
    Distance           H+               CO2(aq)          H2S(aq)          SO4--            S34O4--          SO184--          SO164--          Methane(aq)      Formaldehyde     H2O16            H2O18        
    1.1400000E-01   -2.1663818E-03    9.0812233E-03    1.0828058E-03    2.6262823E-02    1.1852534E-03    5.3638847E-05    2.6419805E-02    1.0000000E-08    1.1956688E+00    1.0000002E+00    2.0469232E-03
    1.1800000E-01   -2.2411718E-03    9.2308034E-03    1.1202009E-03    2.6244408E-02    1.1844594E-03    5.3607788E-05    2.6401650E-02    1.0000000E-08    1.1955192E+00    1.0000002E+00    2.0469173E-03
    1.2200000E-01   -2.3158810E-03    9.3802218E-03    1.1575555E-03    2.6226013E-02    1.1836663E-03    5.3576686E-05    2.6383514E-02    1.0000000E-08    1.1953698E+00    1.0000002E+00    2.0469116E-03
    1.2600000E-01   -2.3905094E-03    9.5294785E-03    1.1948696E-03    2.6207639E-02    1.1828740E-03    5.3545540E-05    2.6365398E-02    1.0000000E-08    1.1952205E+00    1.0000002E+00    2.0469059E-03
    1.3000000E-01   -2.4650569E-03    9.6785735E-03    1.2321434E-03    2.6189284E-02    1.1820826E-03    5.3514352E-05    2.6347302E-02    1.0000000E-08    1.1950714E+00    1.0000002E+00    2.0469003E-03
    1.3400000E-01   -2.5395235E-03    9.8275068E-03    1.2693767E-03    2.6170949E-02    1.1812920E-03    5.3483123E-05    2.6329225E-02    1.0000000E-08    1.1949225E+00    1.0000002E+00    2.0468948E-03
    1.3800000E-01   -2.6139094E-03    9.9762786E-03    1.3065696E-03    2.6152635E-02    1.1805022E-03    5.3451854E-05    2.6311168E-02    1.0000000E-08    1.1947737E+00    1.0000002E+00    2.0468894E-03
    1.4200000E-01   -2.6882145E-03    1.0124889E-02    1.3437222E-03    2.6134340E-02    1.1797133E-03    5.3420547E-05    2.6293130E-02    1.0000000E-08    1.1946251E+00    1.0000002E+00    2.0468841E-03
    1.4600000E-01   -2.7624388E-03    1.0273337E-02    1.3808344E-03    2.6116066E-02    1.1789253E-03    5.3389202E-05    2.6275112E-02    1.0000000E-08    1.1944767E+00    1.0000003E+00    2.0468788E-03
    1.5000000E-01   -2.8365824E-03    1.0421625E-02    1.4179062E-03    2.6097811E-02    1.1781380E-03    5.3357820E-05    2.6257113E-02    1.0000000E-08    1.1943284E+00    1.0000003E+00    2.0468736E-03
