# Time          1.0000E+00
# Units: Log10 mol/kgw
    Distance      pH               H+               CO2(aq)          H2S(aq)          SO4--            S34O4--          SO184--          SO164--          Methane(aq)      Formaldehyde     H2O16            H2O18            OH-          
    2.0000000E-03    1.0388694E+01   -1.0308829E+01   -2.2994466E+00   -4.1734993E+00   -1.5724629E+00   -2.9183642E+00   -4.2640979E+00   -1.5700398E+00   -7.9999999E+00    7.9084147E-02    1.8448016E-09   -2.6888554E+00   -3.8699827E+00
    6.0000000E-03    1.0864115E+01   -1.0784271E+01   -2.2553459E+00   -3.6964712E+00   -1.5735331E+00   -2.9193977E+00   -4.2650892E+00   -1.5710936E+00   -7.9999999E+00    7.8889947E-02    5.4804552E-09   -2.6888572E+00   -3.3946106E+00
    1.0000000E-02    1.1085600E+01   -1.1005777E+01   -2.2153272E+00   -3.4747031E+00   -1.5746056E+00   -2.9204333E+00   -4.2660833E+00   -1.5721496E+00   -7.9999999E+00    7.8695730E-02    9.0628282E-09   -2.6888590E+00   -3.1731745E+00
    1.4000000E-02    1.1231551E+01   -1.1151749E+01   -2.1787008E+00   -3.3286585E+00   -1.5756803E+00   -2.9214710E+00   -4.2670803E+00   -1.5732078E+00   -7.9999999E+00    7.8501503E-02    1.2592582E-08   -2.6888607E+00   -3.0272722E+00
    1.8000000E-02    1.1340577E+01   -1.1260797E+01   -2.1449384E+00   -3.2196018E+00   -1.5767572E+00   -2.9225108E+00   -4.2680801E+00   -1.5742680E+00   -7.9999999E+00    7.8307272E-02    1.6070371E-08   -2.6888624E+00   -2.9182946E+00
    2.2000000E-02    1.1427633E+01   -1.1347874E+01   -2.1136266E+00   -3.1325442E+00   -1.5778363E+00   -2.9235526E+00   -4.2690827E+00   -1.5753304E+00   -7.9999999E+00    7.8113044E-02    1.9496841E-08   -2.6888641E+00   -2.8312874E+00
    2.6000000E-02    1.1500101E+01   -1.1420363E+01   -2.0844353E+00   -3.0600911E+00   -1.5789176E+00   -2.9245964E+00   -4.2700880E+00   -1.5763949E+00   -7.9999999E+00    7.7918827E-02    2.2872634E-08   -2.6888657E+00   -2.7588691E+00
    3.0000000E-02    1.1562169E+01   -1.1482453E+01   -2.0570975E+00   -2.9980457E+00   -1.5800009E+00   -2.9256421E+00   -4.2710960E+00   -1.5774614E+00   -7.9999999E+00    7.7724628E-02    2.6198380E-08   -2.6888673E+00   -2.6968493E+00
    3.4000000E-02    1.1616449E+01   -1.1536753E+01   -2.0313933E+00   -2.9437958E+00   -1.5810863E+00   -2.9266898E+00   -4.2721066E+00   -1.5785299E+00   -7.9999999E+00    7.7530453E-02    2.9474707E-08   -2.6888689E+00   -2.6426189E+00
    3.8000000E-02    1.1664674E+01   -1.1585000E+01   -2.0071402E+00   -2.8956038E+00   -1.5821738E+00   -2.9277394E+00   -4.2731199E+00   -1.5796004E+00   -7.9999999E+00    7.7336309E-02    3.2702232E-08   -2.6888705E+00   -2.5944424E+00
    4.2000000E-02    1.1708059E+01   -1.1628406E+01   -1.9841846E+00   -2.8522560E+00   -1.5832633E+00   -2.9287909E+00   -4.2741358E+00   -1.5806728E+00   -7.9999999E+00    7.7142203E-02    3.5881568E-08   -2.6888721E+00   -2.5511070E+00
    4.6000000E-02    1.1747483E+01   -1.1667851E+01   -1.9623961E+00   -2.8128704E+00   -1.5843548E+00   -2.9298442E+00   -4.2751543E+00   -1.5817472E+00   -7.9999999E+00    7.6948143E-02    3.9013319E-08   -2.6888736E+00   -2.5117318E+00
    5.0000000E-02    1.1783608E+01   -1.1703997E+01   -1.9416631E+00   -2.7767863E+00   -1.5854483E+00   -2.9308994E+00   -4.2761752E+00   -1.5828235E+00   -7.9999999E+00    7.6754134E-02    4.2098084E-08   -2.6888751E+00   -2.4756563E+00
    5.4000000E-02    1.1816940E+01   -1.1737350E+01   -1.9218895E+00   -2.7434957E+00   -1.5865437E+00   -2.9319564E+00   -4.2771987E+00   -1.5839016E+00   -7.9999999E+00    7.6560184E-02    4.5136454E-08   -2.6888766E+00   -2.4423731E+00
    5.8000000E-02    1.1847879E+01   -1.1768310E+01   -1.9029917E+00   -2.7125997E+00   -1.5876409E+00   -2.9330151E+00   -4.2782246E+00   -1.5849816E+00   -7.9999999E+00    7.6366299E-02    4.8129014E-08   -2.6888781E+00   -2.4114835E+00
    6.2000000E-02    1.1876743E+01   -1.1797196E+01   -1.8848965E+00   -2.6837793E+00   -1.5887401E+00   -2.9340756E+00   -4.2792529E+00   -1.5860634E+00   -7.9999999E+00    7.6172487E-02    5.1076343E-08   -2.6888795E+00   -2.3826686E+00
    6.6000000E-02    1.1903791E+01   -1.1824265E+01   -1.8675397E+00   -2.6567753E+00   -1.5898411E+00   -2.9351377E+00   -4.2802836E+00   -1.5871470E+00   -7.9999999E+00    7.5978754E-02    5.3979013E-08   -2.6888809E+00   -2.3556695E+00
    7.0000000E-02    1.1929236E+01   -1.1849732E+01   -1.8508646E+00   -2.6313746E+00   -1.5909439E+00   -2.9362016E+00   -4.2813166E+00   -1.5882323E+00   -7.9999999E+00    7.5785106E-02    5.6837588E-08   -2.6888823E+00   -2.3302730E+00
    7.4000000E-02    1.1953257E+01   -1.1873774E+01   -1.8348206E+00   -2.6073992E+00   -1.5920485E+00   -2.9372671E+00   -4.2823519E+00   -1.5893193E+00   -7.9999999E+00    7.5591551E-02    5.9652630E-08   -2.6888837E+00   -2.3063015E+00
    7.8000000E-02    1.1976002E+01   -1.1896541E+01   -1.8193628E+00   -2.5846996E+00   -1.5931548E+00   -2.9383342E+00   -4.2833895E+00   -1.5904081E+00   -7.9999999E+00    7.5398095E-02    6.2424690E-08   -2.6888850E+00   -2.2836053E+00
    8.2000000E-02    1.1997599E+01   -1.1918159E+01   -1.8044509E+00   -2.5631486E+00   -1.5942629E+00   -2.9394030E+00   -4.2844293E+00   -1.5914985E+00   -7.9999999E+00    7.5204743E-02    6.5154315E-08   -2.6888864E+00   -2.2620574E+00
    8.6000000E-02    1.2018157E+01   -1.1938738E+01   -1.7900486E+00   -2.5426371E+00   -1.5953726E+00   -2.9404733E+00   -4.2854714E+00   -1.5925905E+00   -7.9999999E+00    7.5011504E-02    6.7842046E-08   -2.6888877E+00   -2.2415488E+00
    9.0000000E-02    1.2037769E+01   -1.1958372E+01   -1.7761230E+00   -2.5230711E+00   -1.5964840E+00   -2.9415451E+00   -4.2865155E+00   -1.5936841E+00   -7.9999999E+00    7.4818383E-02    7.0488418E-08   -2.6888890E+00   -2.2219854E+00
    9.4000000E-02    1.2056519E+01   -1.1977142E+01   -1.7626446E+00   -2.5043687E+00   -1.5975970E+00   -2.9426184E+00   -4.2875619E+00   -1.5947793E+00   -7.9999999E+00    7.4625386E-02    7.3093960E-08   -2.6888902E+00   -2.2032853E+00
    9.8000000E-02    1.2074476E+01   -1.1995121E+01   -1.7495864E+00   -2.4864583E+00   -1.5987116E+00   -2.9436933E+00   -4.2886103E+00   -1.5958761E+00   -7.9999999E+00    7.4432521E-02    7.5659193E-08   -2.6888915E+00   -2.1853770E+00
