# Time          5.0000E+02
# Units: Log10 mol/kgw
    Distance      pH               H+               CO2(aq)          H2S(aq)          SO4--            S34O4--          SO184--          SO164--          Methane(aq)      Formaldehyde     H2O16            H2O18            OH-          
    2.0000000E-03    9.8535203E+00   -9.7736485E+00   -2.3163097E+00   -4.7147562E+00   -1.5720825E+00   -2.9179953E+00   -4.2637198E+00   -1.5696647E+00   -7.9999999E+00    7.9153325E-02    1.9170927E-09   -2.6888555E+00   -4.4051388E+00
    6.0000000E-03    1.0324645E+01   -1.0244780E+01   -2.3026599E+00   -4.2379409E+00   -1.5723903E+00   -2.9182894E+00   -4.2639534E+00   -1.5699664E+00   -7.9999999E+00    7.9097538E-02    5.6973574E-09   -2.6888573E+00   -3.9340279E+00
    1.0000000E-02    1.0545113E+01   -1.0465254E+01   -2.2894398E+00   -4.0163369E+00   -1.5726980E+00   -2.9185833E+00   -4.2641877E+00   -1.5702680E+00   -7.9999999E+00    7.9041802E-02    9.4244270E-09   -2.6888591E+00   -3.7135739E+00
    1.4000000E-02    1.0690526E+01   -1.0610672E+01   -2.2766237E+00   -3.8704450E+00   -1.5730056E+00   -2.9188772E+00   -4.2644228E+00   -1.5705695E+00   -7.9999999E+00    7.8986119E-02    1.3099018E-08   -2.6888609E+00   -3.5681758E+00
    1.8000000E-02    1.0799176E+01   -1.0719329E+01   -2.2641880E+00   -3.7615339E+00   -1.5733131E+00   -2.9191710E+00   -4.2646587E+00   -1.5708709E+00   -7.9999999E+00    7.8930487E-02    1.6721836E-08   -2.6888627E+00   -3.4595392E+00
    2.2000000E-02    1.0885934E+01   -1.0806092E+01   -2.2521111E+00   -3.6746158E+00   -1.5736204E+00   -2.9194646E+00   -4.2648953E+00   -1.5711721E+00   -7.9999999E+00    7.8874907E-02    2.0293580E-08   -2.6888645E+00   -3.3727959E+00
    2.6000000E-02    1.0958146E+01   -1.0878310E+01   -2.2403733E+00   -3.6022965E+00   -1.5739277E+00   -2.9197582E+00   -4.2651326E+00   -1.5714733E+00   -7.9999999E+00    7.8819379E-02    2.3814938E-08   -2.6888662E+00   -3.3005978E+00
    3.0000000E-02    1.1019988E+01   -1.0940158E+01   -2.2289563E+00   -3.5403797E+00   -1.5742348E+00   -2.9200516E+00   -4.2653707E+00   -1.5717744E+00   -7.9999999E+00    7.8763903E-02    2.7286587E-08   -2.6888679E+00   -3.2387698E+00
    3.4000000E-02    1.1074061E+01   -1.0994237E+01   -2.2178435E+00   -3.4862530E+00   -1.5745419E+00   -2.9203450E+00   -4.2656095E+00   -1.5720753E+00   -7.9999999E+00    7.8708479E-02    3.0709200E-08   -2.6888695E+00   -3.1847109E+00
    3.8000000E-02    1.1122095E+01   -1.1042278E+01   -2.2070193E+00   -3.4381791E+00   -1.5748488E+00   -2.9206382E+00   -4.2658491E+00   -1.5723761E+00   -7.9999999E+00    7.8653106E-02    3.4083436E-08   -2.6888712E+00   -3.1366907E+00
    4.2000000E-02    1.1165300E+01   -1.1085489E+01   -2.1964694E+00   -3.3949441E+00   -1.5751556E+00   -2.9209313E+00   -4.2660893E+00   -1.5726768E+00   -7.9999999E+00    7.8597786E-02    3.7409949E-08   -2.6888728E+00   -3.0934991E+00
    4.6000000E-02    1.1204556E+01   -1.1124751E+01   -2.1861806E+00   -3.3556663E+00   -1.5754623E+00   -2.9212243E+00   -4.2663302E+00   -1.5729775E+00   -7.9999999E+00    7.8542517E-02    4.0689382E-08   -2.6888744E+00   -3.0542572E+00
    5.0000000E-02    1.1240522E+01   -1.1160722E+01   -2.1761405E+00   -3.3196849E+00   -1.5757688E+00   -2.9215172E+00   -4.2665717E+00   -1.5732779E+00   -7.9999999E+00    7.8487300E-02    4.3922371E-08   -2.6888760E+00   -3.0183059E+00
    5.4000000E-02    1.1273703E+01   -1.1193910E+01   -2.1663377E+00   -3.2864919E+00   -1.5760753E+00   -2.9218100E+00   -4.2668140E+00   -1.5735783E+00   -7.9999999E+00    7.8432135E-02    4.7109544E-08   -2.6888776E+00   -2.9851386E+00
    5.8000000E-02    1.1304498E+01   -1.1224711E+01   -2.1567613E+00   -3.2556885E+00   -1.5763817E+00   -2.9221027E+00   -4.2670569E+00   -1.5738786E+00   -7.9999999E+00    7.8377022E-02    5.0251518E-08   -2.6888791E+00   -2.9543573E+00
    6.2000000E-02    1.1333226E+01   -1.1253445E+01   -2.1474014E+00   -3.2269556E+00   -1.5766879E+00   -2.9223953E+00   -4.2673004E+00   -1.5741788E+00   -7.9999999E+00    7.8321960E-02    5.3348905E-08   -2.6888806E+00   -2.9256437E+00
    6.6000000E-02    1.1360144E+01   -1.1280369E+01   -2.1382488E+00   -3.2000342E+00   -1.5769940E+00   -2.9226878E+00   -4.2675446E+00   -1.5744788E+00   -7.9999999E+00    7.8266951E-02    5.6402308E-08   -2.6888821E+00   -2.8987393E+00
    7.0000000E-02    1.1385466E+01   -1.1305697E+01   -2.1292945E+00   -3.1747111E+00   -1.5773000E+00   -2.9229801E+00   -4.2677894E+00   -1.5747787E+00   -7.9999999E+00    7.8211994E-02    5.9412321E-08   -2.6888836E+00   -2.8734311E+00
    7.4000000E-02    1.1409369E+01   -1.1329606E+01   -2.1205304E+00   -3.1508084E+00   -1.5776059E+00   -2.9232724E+00   -4.2680348E+00   -1.5750785E+00   -7.9999999E+00    7.8157088E-02    6.2379530E-08   -2.6888850E+00   -2.8495418E+00
    7.8000000E-02    1.1432003E+01   -1.1352246E+01   -2.1119488E+00   -3.1281766E+00   -1.5779117E+00   -2.9235645E+00   -4.2682808E+00   -1.5753782E+00   -7.9999999E+00    7.8102234E-02    6.5304516E-08   -2.6888864E+00   -2.8269220E+00
    8.2000000E-02    1.1453494E+01   -1.1373743E+01   -2.1035424E+00   -3.1066885E+00   -1.5782174E+00   -2.9238566E+00   -4.2685274E+00   -1.5756778E+00   -7.9999999E+00    7.8047432E-02    6.8187848E-08   -2.6888879E+00   -2.8054448E+00
    8.6000000E-02    1.1473952E+01   -1.1394207E+01   -2.0953045E+00   -3.0862351E+00   -1.5785230E+00   -2.9241485E+00   -4.2687746E+00   -1.5759773E+00   -7.9999999E+00    7.7992682E-02    7.1030092E-08   -2.6888892E+00   -2.7850012E+00
    9.0000000E-02    1.1493469E+01   -1.1413730E+01   -2.0872284E+00   -3.0667224E+00   -1.5788284E+00   -2.9244403E+00   -4.2690223E+00   -1.5762767E+00   -7.9999999E+00    7.7937984E-02    7.3831804E-08   -2.6888906E+00   -2.7654974E+00
    9.4000000E-02    1.1512129E+01   -1.1432396E+01   -2.0793083E+00   -3.0480684E+00   -1.5791337E+00   -2.9247320E+00   -4.2692707E+00   -1.5765759E+00   -7.9999999E+00    7.7883338E-02    7.6593532E-08   -2.6888920E+00   -2.7468516E+00
    9.8000000E-02    1.1530002E+01   -1.1450275E+01   -2.0715383E+00   -3.0302016E+00   -1.5794389E+00   -2.9250235E+00   -4.2695196E+00   -1.5768750E+00   -7.9999999E+00    7.7828744E-02    7.9315818E-08   -2.6888933E+00   -2.7289924E+00
    1.0200000E-01    1.1547152E+01   -1.1467431E+01   -2.0639131E+00   -3.0130590E+00   -1.5797440E+00   -2.9253150E+00   -4.2697690E+00   -1.5771740E+00   -7.9999999E+00    7.7774202E-02    8.1999198E-08   -2.6888946E+00   -2.7118567E+00
    1.0600000E-01    1.1563633E+01   -1.1483918E+01   -2.0564274E+00   -2.9965849E+00   -1.5800490E+00   -2.9256064E+00   -4.2700190E+00   -1.5774729E+00   -7.9999999E+00    7.7719712E-02    8.4644198E-08   -2.6888959E+00   -2.6953891E+00
    1.1000000E-01    1.1579496E+01   -1.1499787E+01   -2.0490765E+00   -2.9807298E+00   -1.5803538E+00   -2.9258976E+00   -4.2702695E+00   -1.5777717E+00   -7.9999999E+00    7.7665274E-02    8.7251339E-08   -2.6888972E+00   -2.6795399E+00
