# Time          2.5000E+02
# Units: Log10 mol/kgw
    Distance      pH               H+               CO2(aq)          H2S(aq)          SO4--            S34O4--          SO184--          SO164--          Methane(aq)      Formaldehyde     H2O16            H2O18            OH-          
    2.0000000E-03    1.0516378E+01   -1.0436920E+01   -2.3046101E+00   -4.2781341E+00   -1.5725217E+00   -2.9184200E+00   -4.2641552E+00   -1.5700973E+00   -8.0001696E+00    7.9104937E-02    1.7935441E-09   -2.6888554E+00   -3.9739433E+00
    6.0000000E-03    1.0990348E+01   -1.0910920E+01   -2.2696028E+00   -3.8021300E+00   -1.5737073E+00   -2.9195628E+00   -4.2652588E+00   -1.5712636E+00   -8.0005093E+00    7.8952871E-02    5.3267011E-09   -2.6888571E+00   -3.5000417E+00
    1.0000000E-02    1.1210951E+01   -1.1131552E+01   -2.2373295E+00   -3.5811743E+00   -1.5748928E+00   -2.9207056E+00   -4.2663630E+00   -1.5724299E+00   -8.0008492E+00    7.8801337E-02    8.8066131E-09   -2.6888588E+00   -3.2795079E+00
    1.4000000E-02    1.1356106E+01   -1.1276737E+01   -2.2074024E+00   -3.4359071E+00   -1.5760783E+00   -2.9218484E+00   -4.2674679E+00   -1.5735961E+00   -8.0011894E+00    7.8650334E-02    1.2233941E-08   -2.6888605E+00   -3.1344218E+00
    1.8000000E-02    1.1464368E+01   -1.1385029E+01   -2.1795109E+00   -3.3276128E+00   -1.5772638E+00   -2.9229911E+00   -4.2685733E+00   -1.5747624E+00   -8.0015299E+00    7.8499863E-02    1.5609337E-08   -2.6888622E+00   -3.0262281E+00
    2.2000000E-02    1.1550677E+01   -1.1471368E+01   -2.1534022E+00   -3.2413079E+00   -1.5784492E+00   -2.9241338E+00   -4.2696795E+00   -1.5759286E+00   -8.0018706E+00    7.8349920E-02    1.8933449E-08   -2.6888638E+00   -2.9399873E+00
    2.6000000E-02    1.1622410E+01   -1.1543130E+01   -2.1288679E+00   -3.1695999E+00   -1.5796346E+00   -2.9252765E+00   -4.2707862E+00   -1.5770948E+00   -8.0022116E+00    7.8200506E-02    2.2206916E-08   -2.6888654E+00   -2.8683236E+00
    3.0000000E-02    1.1683753E+01   -1.1604503E+01   -2.1057341E+00   -3.1082930E+00   -1.5808200E+00   -2.9264192E+00   -4.2718936E+00   -1.5782609E+00   -8.0025529E+00    7.8051619E-02    2.5430370E-08   -2.6888670E+00   -2.8070492E+00
    3.4000000E-02    1.1737314E+01   -1.1658094E+01   -2.0838542E+00   -3.0547753E+00   -1.5820054E+00   -2.9275619E+00   -4.2730015E+00   -1.5794270E+00   -8.0028944E+00    7.7903258E-02    2.8604437E-08   -2.6888685E+00   -2.7535564E+00
    3.8000000E-02    1.1784828E+01   -1.1705638E+01   -2.0631036E+00   -3.0073099E+00   -1.5831907E+00   -2.9287045E+00   -4.2741101E+00   -1.5805931E+00   -8.0032362E+00    7.7755421E-02    3.1729734E-08   -2.6888700E+00   -2.7061106E+00
