# Time          1.0000E+01
# Units: Permil
    Distance        SO4--            SO164--         
    2.0000000E-03    2.1018041E+01    8.7419443E+00
    6.0000000E-03    2.1053860E+01    8.8683974E+00
    1.0000000E-02    2.1089510E+01    8.9937990E+00
    1.4000000E-02    2.1124990E+01    9.1181571E+00
    1.8000000E-02    2.1160301E+01    9.2414796E+00
    2.2000000E-02    2.1195445E+01    9.3637744E+00
    2.6000000E-02    2.1230421E+01    9.4850492E+00
    3.0000000E-02    2.1265231E+01    9.6053117E+00
    3.4000000E-02    2.1299875E+01    9.7245695E+00
    3.8000000E-02    2.1334354E+01    9.8428301E+00
    4.2000000E-02    2.1368668E+01    9.9601011E+00
    4.6000000E-02    2.1402818E+01    1.0076390E+01
    5.0000000E-02    2.1436805E+01    1.0191704E+01
    5.4000000E-02    2.1470630E+01    1.0306050E+01
    5.8000000E-02    2.1504293E+01    1.0419436E+01
    6.2000000E-02    2.1537795E+01    1.0531868E+01
    6.6000000E-02    2.1571136E+01    1.0643355E+01
    7.0000000E-02    2.1604317E+01    1.0753902E+01
    7.4000000E-02    2.1637340E+01    1.0863517E+01
    7.8000000E-02    2.1670204E+01    1.0972206E+01
    8.2000000E-02    2.1702910E+01    1.1079978E+01
    8.6000000E-02    2.1735459E+01    1.1186837E+01
    9.0000000E-02    2.1767852E+01    1.1292791E+01
    9.4000000E-02    2.1800089E+01    1.1397847E+01
    9.8000000E-02    2.1832171E+01    1.1502011E+01
    1.0200000E-01    2.1864098E+01    1.1605290E+01
    1.0600000E-01    2.1895872E+01    1.1707690E+01
    1.1000000E-01    2.1927492E+01    1.1809217E+01
    1.1400000E-01    2.1958961E+01    1.1909879E+01
    1.1800000E-01    2.1990277E+01    1.2009681E+01
    1.2200000E-01    2.2021442E+01    1.2108629E+01
    1.2600000E-01    2.2052457E+01    1.2206729E+01
    1.3000000E-01    2.2083322E+01    1.2303988E+01
    1.3400000E-01    2.2114038E+01    1.2400413E+01
    1.3800000E-01    2.2144606E+01    1.2496007E+01
    1.4200000E-01    2.2175026E+01    1.2590779E+01
    1.4600000E-01    2.2205298E+01    1.2684733E+01
    1.5000000E-01    2.2235425E+01    1.2777876E+01
    1.5400000E-01    2.2265405E+01    1.2870213E+01
    1.5800000E-01    2.2295240E+01    1.2961750E+01
    1.6200000E-01    2.2324931E+01    1.3052493E+01
    1.6600000E-01    2.2354477E+01    1.3142446E+01
    1.7000000E-01    2.2383881E+01    1.3231617E+01
    1.7400000E-01    2.2413142E+01    1.3320011E+01
    1.7800000E-01    2.2442260E+01    1.3407632E+01
    1.8200000E-01    2.2471238E+01    1.3494487E+01
    1.8600000E-01    2.2500075E+01    1.3580580E+01
    1.9000000E-01    2.2528772E+01    1.3665917E+01
    1.9400000E-01    2.2557329E+01    1.3750504E+01
    1.9800000E-01    2.2585748E+01    1.3834346E+01
    2.0200000E-01    2.2614029E+01    1.3917447E+01
    2.0600000E-01    2.2642172E+01    1.3999813E+01
    2.1000000E-01    2.2670178E+01    1.4081450E+01
    2.1400000E-01    2.2698048E+01    1.4162362E+01
    2.1800000E-01    2.2725782E+01    1.4242553E+01
    2.2200000E-01    2.2753382E+01    1.4322030E+01
    2.2600000E-01    2.2780847E+01    1.4400797E+01
    2.3000000E-01    2.2808178E+01    1.4478859E+01
    2.3400000E-01    2.2835376E+01    1.4556221E+01
    2.3800000E-01    2.2862442E+01    1.4632888E+01
    2.4200000E-01    2.2889376E+01    1.4708864E+01
    2.4600000E-01    2.2916179E+01    1.4784154E+01
    2.5000000E-01    2.2942851E+01    1.4858763E+01
    2.5400000E-01    2.2969393E+01    1.4932695E+01
    2.5800000E-01    2.2995805E+01    1.5005956E+01
    2.6200000E-01    2.3022089E+01    1.5078549E+01
    2.6600000E-01    2.3048245E+01    1.5150479E+01
    2.7000000E-01    2.3074272E+01    1.5221751E+01
    2.7400000E-01    2.3100174E+01    1.5292369E+01
    2.7800000E-01    2.3125948E+01    1.5362337E+01
    2.8200000E-01    2.3151597E+01    1.5431661E+01
    2.8600000E-01    2.3177121E+01    1.5500343E+01
    2.9000000E-01    2.3202520E+01    1.5568389E+01
    2.9400000E-01    2.3227795E+01    1.5635803E+01
    2.9800000E-01    2.3252946E+01    1.5702590E+01
    3.0200000E-01    2.3277975E+01    1.5768752E+01
    3.0600000E-01    2.3302882E+01    1.5834295E+01
    3.1000000E-01    2.3327667E+01    1.5899222E+01
    3.1400000E-01    2.3352331E+01    1.5963538E+01
    3.1800000E-01    2.3376875E+01    1.6027247E+01
    3.2200000E-01    2.3401298E+01    1.6090353E+01
    3.2600000E-01    2.3425603E+01    1.6152859E+01
    3.3000000E-01    2.3449788E+01    1.6214770E+01
    3.3400000E-01    2.3473856E+01    1.6276090E+01
    3.3800000E-01    2.3497806E+01    1.6336823E+01
    3.4200000E-01    2.3521639E+01    1.6396972E+01
    3.4600000E-01    2.3545355E+01    1.6456542E+01
    3.5000000E-01    2.3568956E+01    1.6515536E+01
    3.5400000E-01    2.3592441E+01    1.6573957E+01
    3.5800000E-01    2.3615812E+01    1.6631811E+01
    3.6200000E-01    2.3639068E+01    1.6689101E+01
    3.6600000E-01    2.3662211E+01    1.6745829E+01
    3.7000000E-01    2.3685241E+01    1.6802001E+01
    3.7400000E-01    2.3708158E+01    1.6857619E+01
    3.7800000E-01    2.3730964E+01    1.6912688E+01
    3.8200000E-01    2.3753658E+01    1.6967210E+01
    3.8600000E-01    2.3776241E+01    1.7021190E+01
    3.9000000E-01    2.3798714E+01    1.7074632E+01
    3.9400000E-01    2.3821077E+01    1.7127538E+01
    3.9800000E-01    2.3843331E+01    1.7179912E+01
    4.0200000E-01    2.3865476E+01    1.7231757E+01
    4.0600000E-01    2.3887513E+01    1.7283078E+01
    4.1000000E-01    2.3909443E+01    1.7333878E+01
    4.1400000E-01    2.3931265E+01    1.7384159E+01
    4.1800000E-01    2.3952981E+01    1.7433926E+01
    4.2200000E-01    2.3974591E+01    1.7483182E+01
    4.2600000E-01    2.3996096E+01    1.7531930E+01
    4.3000000E-01    2.4017496E+01    1.7580174E+01
    4.3400000E-01    2.4038791E+01    1.7627917E+01
    4.3800000E-01    2.4059982E+01    1.7675162E+01
    4.4200000E-01    2.4081070E+01    1.7721912E+01
    4.4600000E-01    2.4102056E+01    1.7768171E+01
    4.5000000E-01    2.4122939E+01    1.7813942E+01
    4.5400000E-01    2.4143720E+01    1.7859229E+01
    4.5800000E-01    2.4164400E+01    1.7904034E+01
    4.6200000E-01    2.4184979E+01    1.7948361E+01
    4.6600000E-01    2.4205457E+01    1.7992212E+01
    4.7000000E-01    2.4225837E+01    1.8035592E+01
    4.7400000E-01    2.4246116E+01    1.8078503E+01
    4.7800000E-01    2.4266297E+01    1.8120948E+01
    4.8200000E-01    2.4286380E+01    1.8162931E+01
    4.8600000E-01    2.4306365E+01    1.8204454E+01
    4.9000000E-01    2.4326253E+01    1.8245521E+01
    4.9400000E-01    2.4346044E+01    1.8286135E+01
    4.9800000E-01    2.4365739E+01    1.8326298E+01
    5.0200000E-01    2.4385338E+01    1.8366015E+01
    5.0600000E-01    2.4404842E+01    1.8405287E+01
    5.1000000E-01    2.4424251E+01    1.8444118E+01
    5.1400000E-01    2.4443566E+01    1.8482511E+01
    5.1800000E-01    2.4462786E+01    1.8520470E+01
    5.2200000E-01    2.4481914E+01    1.8557995E+01
    5.2600000E-01    2.4500949E+01    1.8595092E+01
    5.3000000E-01    2.4519891E+01    1.8631763E+01
    5.3400000E-01    2.4538741E+01    1.8668010E+01
    5.3800000E-01    2.4557500E+01    1.8703837E+01
    5.4200000E-01    2.4576168E+01    1.8739247E+01
    5.4600000E-01    2.4594745E+01    1.8774242E+01
    5.5000000E-01    2.4613232E+01    1.8808826E+01
    5.5400000E-01    2.4631630E+01    1.8843001E+01
    5.5800000E-01    2.4649939E+01    1.8876771E+01
    5.6200000E-01    2.4668159E+01    1.8910137E+01
    5.6600000E-01    2.4686290E+01    1.8943103E+01
    5.7000000E-01    2.4704334E+01    1.8975673E+01
    5.7400000E-01    2.4722291E+01    1.9007848E+01
    5.7800000E-01    2.4740161E+01    1.9039631E+01
    5.8200000E-01    2.4757944E+01    1.9071026E+01
    5.8600000E-01    2.4775642E+01    1.9102035E+01
    5.9000000E-01    2.4793254E+01    1.9132660E+01
    5.9400000E-01    2.4810781E+01    1.9162906E+01
    5.9800000E-01    2.4828223E+01    1.9192774E+01
    6.0200000E-01    2.4845581E+01    1.9222268E+01
    6.0600000E-01    2.4862856E+01    1.9251389E+01
    6.1000000E-01    2.4880047E+01    1.9280142E+01
    6.1400000E-01    2.4897155E+01    1.9308528E+01
    6.1800000E-01    2.4914181E+01    1.9336551E+01
    6.2200000E-01    2.4931125E+01    1.9364213E+01
    6.2600000E-01    2.4947987E+01    1.9391517E+01
    6.3000000E-01    2.4964768E+01    1.9418465E+01
    6.3400000E-01    2.4981469E+01    1.9445061E+01
    6.3800000E-01    2.4998089E+01    1.9471307E+01
    6.4200000E-01    2.5014629E+01    1.9497206E+01
    6.4600000E-01    2.5031089E+01    1.9522760E+01
    6.5000000E-01    2.5047471E+01    1.9547973E+01
    6.5400000E-01    2.5063774E+01    1.9572847E+01
    6.5800000E-01    2.5079999E+01    1.9597385E+01
    6.6200000E-01    2.5096146E+01    1.9621588E+01
    6.6600000E-01    2.5112215E+01    1.9645461E+01
    6.7000000E-01    2.5128208E+01    1.9669006E+01
    6.7400000E-01    2.5144124E+01    1.9692225E+01
    6.7800000E-01    2.5159963E+01    1.9715122E+01
    6.8200000E-01    2.5175727E+01    1.9737698E+01
    6.8600000E-01    2.5191416E+01    1.9759957E+01
    6.9000000E-01    2.5207029E+01    1.9781901E+01
    6.9400000E-01    2.5222568E+01    1.9803532E+01
    6.9800000E-01    2.5238033E+01    1.9824854E+01
    7.0200000E-01    2.5253424E+01    1.9845870E+01
    7.0600000E-01    2.5268741E+01    1.9866580E+01
    7.1000000E-01    2.5283985E+01    1.9886990E+01
    7.1400000E-01    2.5299157E+01    1.9907100E+01
    7.1800000E-01    2.5314256E+01    1.9926914E+01
    7.2200000E-01    2.5329284E+01    1.9946434E+01
    7.2600000E-01    2.5344240E+01    1.9965664E+01
    7.3000000E-01    2.5359125E+01    1.9984604E+01
    7.3400000E-01    2.5373939E+01    2.0003259E+01
    7.3800000E-01    2.5388682E+01    2.0021631E+01
    7.4200000E-01    2.5403356E+01    2.0039722E+01
    7.4600000E-01    2.5417960E+01    2.0057535E+01
    7.5000000E-01    2.5432494E+01    2.0075073E+01
    7.5400000E-01    2.5446960E+01    2.0092338E+01
    7.5800000E-01    2.5461357E+01    2.0109332E+01
    7.6200000E-01    2.5475686E+01    2.0126059E+01
    7.6600000E-01    2.5489947E+01    2.0142521E+01
    7.7000000E-01    2.5504141E+01    2.0158720E+01
    7.7400000E-01    2.5518268E+01    2.0174660E+01
    7.7800000E-01    2.5532327E+01    2.0190342E+01
    7.8200000E-01    2.5546321E+01    2.0205769E+01
    7.8600000E-01    2.5560248E+01    2.0220944E+01
    7.9000000E-01    2.5574110E+01    2.0235870E+01
    7.9400000E-01    2.5587906E+01    2.0250548E+01
    7.9800000E-01    2.5601637E+01    2.0264982E+01
    8.0200000E-01    2.5615304E+01    2.0279174E+01
    8.0600000E-01    2.5628906E+01    2.0293126E+01
    8.1000000E-01    2.5642444E+01    2.0306841E+01
    8.1400000E-01    2.5655919E+01    2.0320322E+01
    8.1800000E-01    2.5669330E+01    2.0333571E+01
    8.2200000E-01    2.5682678E+01    2.0346591E+01
    8.2600000E-01    2.5695964E+01    2.0359384E+01
    8.3000000E-01    2.5709187E+01    2.0371952E+01
    8.3400000E-01    2.5722349E+01    2.0384299E+01
    8.3800000E-01    2.5735449E+01    2.0396426E+01
    8.4200000E-01    2.5748487E+01    2.0408337E+01
    8.4600000E-01    2.5761464E+01    2.0420032E+01
    8.5000000E-01    2.5774381E+01    2.0431517E+01
    8.5400000E-01    2.5787238E+01    2.0442791E+01
    8.5800000E-01    2.5800034E+01    2.0453859E+01
    8.6200000E-01    2.5812771E+01    2.0464722E+01
    8.6600000E-01    2.5825448E+01    2.0475383E+01
    8.7000000E-01    2.5838067E+01    2.0485844E+01
    8.7400000E-01    2.5850626E+01    2.0496108E+01
    8.7800000E-01    2.5863127E+01    2.0506177E+01
    8.8200000E-01    2.5875570E+01    2.0516054E+01
    8.8600000E-01    2.5887955E+01    2.0525741E+01
    8.9000000E-01    2.5900283E+01    2.0535240E+01
    8.9400000E-01    2.5912553E+01    2.0544555E+01
    8.9800000E-01    2.5924767E+01    2.0553686E+01
    9.0200000E-01    2.5936924E+01    2.0562637E+01
    9.0600000E-01    2.5949024E+01    2.0571410E+01
    9.1000000E-01    2.5961069E+01    2.0580007E+01
    9.1400000E-01    2.5973058E+01    2.0588431E+01
    9.1800000E-01    2.5984992E+01    2.0596684E+01
    9.2200000E-01    2.5996870E+01    2.0604769E+01
    9.2600000E-01    2.6008694E+01    2.0612687E+01
    9.3000000E-01    2.6020463E+01    2.0620440E+01
    9.3400000E-01    2.6032178E+01    2.0628033E+01
    9.3800000E-01    2.6043839E+01    2.0635465E+01
    9.4200000E-01    2.6055446E+01    2.0642741E+01
    9.4600000E-01    2.6067000E+01    2.0649862E+01
    9.5000000E-01    2.6078501E+01    2.0656830E+01
    9.5400000E-01    2.6089949E+01    2.0663647E+01
    9.5800000E-01    2.6101344E+01    2.0670317E+01
    9.6200000E-01    2.6112687E+01    2.0676840E+01
    9.6600000E-01    2.6123979E+01    2.0683220E+01
    9.7000000E-01    2.6135218E+01    2.0689458E+01
    9.7400000E-01    2.6146406E+01    2.0695557E+01
    9.7800000E-01    2.6157543E+01    2.0701518E+01
    9.8200000E-01    2.6168630E+01    2.0707345E+01
    9.8600000E-01    2.6179665E+01    2.0713039E+01
    9.9000000E-01    2.6190651E+01    2.0718602E+01
    9.9400000E-01    2.6201586E+01    2.0724036E+01
    9.9800000E-01    2.6212471E+01    2.0729344E+01
    1.0020000E+00    2.6223307E+01    2.0734527E+01
    1.0060000E+00    2.6234094E+01    2.0739588E+01
    1.0100000E+00    2.6244832E+01    2.0744528E+01
    1.0140000E+00    2.6255521E+01    2.0749350E+01
    1.0180000E+00    2.6266161E+01    2.0754056E+01
    1.0220000E+00    2.6276753E+01    2.0758648E+01
    1.0260000E+00    2.6287298E+01    2.0763127E+01
    1.0300000E+00    2.6297794E+01    2.0767496E+01
    1.0340000E+00    2.6308243E+01    2.0771757E+01
    1.0380000E+00    2.6318645E+01    2.0775912E+01
    1.0420000E+00    2.6329000E+01    2.0779962E+01
