# Time          7.5000E+02
# Units: Log10 mol/kgw
    Distance      pH               H+               CO2(aq)          H2S(aq)          SO4--            S34O4--          SO184--          SO164--          Methane(aq)      Formaldehyde     H2O16            H2O18            OH-          
    2.0000000E-03    9.8087405E+00   -9.7288683E+00   -2.3170038E+00   -4.7604786E+00   -1.5720674E+00   -2.9179798E+00   -4.2637044E+00   -1.5696494E+00   -7.9999999E+00    7.9156115E-02    1.9193408E-09   -2.6888555E+00   -4.4499178E+00
    6.0000000E-03    1.0279208E+01   -1.0199341E+01   -2.3046808E+00   -4.2836956E+00   -1.5723449E+00   -2.9182428E+00   -4.2639071E+00   -1.5699205E+00   -7.9999999E+00    7.9105909E-02    5.7041232E-09   -2.6888573E+00   -3.9794634E+00
    1.0000000E-02    1.0499522E+01   -1.0419661E+01   -2.2927116E+00   -4.0621167E+00   -1.5726223E+00   -2.9185057E+00   -4.2641105E+00   -1.5701914E+00   -7.9999999E+00    7.9055755E-02    9.4357534E-09   -2.6888591E+00   -3.7591614E+00
    1.4000000E-02    1.0644854E+01   -1.0564998E+01   -2.2810768E+00   -3.9162488E+00   -1.5728995E+00   -2.9187685E+00   -4.2643147E+00   -1.5704622E+00   -7.9999999E+00    7.9005654E-02    1.3114949E-08   -2.6888609E+00   -3.6138419E+00
    1.8000000E-02    1.0753449E+01   -1.0673599E+01   -2.2697587E+00   -3.8073612E+00   -1.5731766E+00   -2.9190311E+00   -4.2645196E+00   -1.5707328E+00   -7.9999999E+00    7.8955606E-02    1.6742419E-08   -2.6888627E+00   -3.5052593E+00
    2.2000000E-02    1.0840162E+01   -1.0760317E+01   -2.2587407E+00   -3.7204665E+00   -1.5734535E+00   -2.9192936E+00   -4.2647253E+00   -1.5710033E+00   -7.9999999E+00    7.8905610E-02    2.0318862E-08   -2.6888645E+00   -3.4185588E+00
    2.6000000E-02    1.0912336E+01   -1.0832497E+01   -2.2480078E+00   -3.6481706E+00   -1.5737303E+00   -2.9195560E+00   -4.2649316E+00   -1.5712737E+00   -7.9999999E+00    7.8855667E-02    2.3844968E-08   -2.6888662E+00   -3.3463974E+00
    3.0000000E-02    1.0974144E+01   -1.0894310E+01   -2.2375457E+00   -3.5862770E+00   -1.5740069E+00   -2.9198182E+00   -4.2651387E+00   -1.5715439E+00   -7.9999999E+00    7.8805776E-02    2.7321417E-08   -2.6888679E+00   -3.2846025E+00
    3.4000000E-02    1.1028185E+01   -1.0948356E+01   -2.2273416E+00   -3.5321735E+00   -1.5742834E+00   -2.9200802E+00   -4.2653464E+00   -1.5718139E+00   -7.9999999E+00    7.8755938E-02    3.0748881E-08   -2.6888696E+00   -3.2305743E+00
    3.8000000E-02    1.1076188E+01   -1.0996365E+01   -2.2173833E+00   -3.4841227E+00   -1.5745597E+00   -2.9203421E+00   -4.2655548E+00   -1.5720838E+00   -7.9999999E+00    7.8706153E-02    3.4128022E-08   -2.6888712E+00   -3.1825832E+00
    4.2000000E-02    1.1119364E+01   -1.1039546E+01   -2.2076595E+00   -3.4409109E+00   -1.5748359E+00   -2.9206039E+00   -4.2657639E+00   -1.5723536E+00   -7.9999999E+00    7.8656420E-02    3.7459495E-08   -2.6888728E+00   -3.1394196E+00
    4.6000000E-02    1.1158592E+01   -1.1078779E+01   -2.1981596E+00   -3.4016562E+00   -1.5751119E+00   -2.9208655E+00   -4.2659736E+00   -1.5726232E+00   -7.9999999E+00    7.8606740E-02    4.0743945E-08   -2.6888744E+00   -3.1002048E+00
    5.0000000E-02    1.1194529E+01   -1.1114722E+01   -2.1888739E+00   -3.3656979E+00   -1.5753878E+00   -2.9211270E+00   -4.2661840E+00   -1.5728926E+00   -7.9999999E+00    7.8557112E-02    4.3982007E-08   -2.6888760E+00   -3.0642799E+00
    5.4000000E-02    1.1227683E+01   -1.1147881E+01   -2.1797931E+00   -3.3325279E+00   -1.5756635E+00   -2.9213883E+00   -4.2663950E+00   -1.5731619E+00   -7.9999999E+00    7.8507537E-02    4.7174312E-08   -2.6888776E+00   -3.0311384E+00
    5.8000000E-02    1.1258451E+01   -1.1178655E+01   -2.1709087E+00   -3.3017475E+00   -1.5759391E+00   -2.9216495E+00   -4.2666067E+00   -1.5734311E+00   -7.9999999E+00    7.8458014E-02    5.0321477E-08   -2.6888791E+00   -3.0003826E+00
    6.2000000E-02    1.1287152E+01   -1.1207361E+01   -2.1622125E+00   -3.2730377E+00   -1.5762145E+00   -2.9219105E+00   -4.2668189E+00   -1.5737001E+00   -7.9999999E+00    7.8408544E-02    5.3424116E-08   -2.6888806E+00   -2.9716942E+00
    6.6000000E-02    1.1314044E+01   -1.1234258E+01   -2.1536969E+00   -3.2461393E+00   -1.5764898E+00   -2.9221714E+00   -4.2670318E+00   -1.5739689E+00   -7.9999999E+00    7.8359126E-02    5.6482831E-08   -2.6888821E+00   -2.9448147E+00
    7.0000000E-02    1.1339340E+01   -1.1259559E+01   -2.1453548E+00   -3.2208391E+00   -1.5767649E+00   -2.9224322E+00   -4.2672452E+00   -1.5742376E+00   -7.9999999E+00    7.8309761E-02    5.9498218E-08   -2.6888836E+00   -2.9195312E+00
    7.4000000E-02    1.1363217E+01   -1.1283442E+01   -2.1371795E+00   -3.1969594E+00   -1.5770399E+00   -2.9226928E+00   -4.2674593E+00   -1.5745062E+00   -7.9999999E+00    7.8260448E-02    6.2470864E-08   -2.6888851E+00   -2.8956663E+00
    7.8000000E-02    1.1385825E+01   -1.1306055E+01   -2.1291646E+00   -3.1743506E+00   -1.5773148E+00   -2.9229532E+00   -4.2676739E+00   -1.5747746E+00   -7.9999999E+00    7.8211188E-02    6.5401350E-08   -2.6888865E+00   -2.8730708E+00
    8.2000000E-02    1.1407291E+01   -1.1327526E+01   -2.1213041E+00   -3.1528854E+00   -1.5775894E+00   -2.9232135E+00   -4.2678891E+00   -1.5750429E+00   -7.9999999E+00    7.8161980E-02    6.8290247E-08   -2.6888879E+00   -2.8516177E+00
    8.6000000E-02    1.1427723E+01   -1.1347963E+01   -2.1135924E+00   -3.1324549E+00   -1.5778640E+00   -2.9234737E+00   -4.2681048E+00   -1.5753110E+00   -7.9999999E+00    7.8112825E-02    7.1138120E-08   -2.6888893E+00   -2.8311981E+00
    9.0000000E-02    1.1447215E+01   -1.1367461E+01   -2.1060241E+00   -3.1129651E+00   -1.5781383E+00   -2.9237337E+00   -4.2683211E+00   -1.5755789E+00   -7.9999999E+00    7.8063722E-02    7.3945525E-08   -2.6888907E+00   -2.8117182E+00
    9.4000000E-02    1.1465849E+01   -1.1386101E+01   -2.0985941E+00   -3.0943340E+00   -1.5784125E+00   -2.9239936E+00   -4.2685379E+00   -1.5758467E+00   -7.9999999E+00    7.8014671E-02    7.6713014E-08   -2.6888920E+00   -2.7930962E+00
    9.8000000E-02    1.1483697E+01   -1.1403954E+01   -2.0912977E+00   -3.0764900E+00   -1.5786866E+00   -2.9242533E+00   -4.2687552E+00   -1.5761144E+00   -7.9999999E+00    7.7965673E-02    7.9441127E-08   -2.6888933E+00   -2.7752607E+00
    1.0200000E-01    1.1500821E+01   -1.1421084E+01   -2.0841303E+00   -3.0593703E+00   -1.5789605E+00   -2.9245129E+00   -4.2689730E+00   -1.5763819E+00   -7.9999999E+00    7.7916728E-02    8.2130400E-08   -2.6888947E+00   -2.7581486E+00
